packet_index,symbol_index,gt_bin,savaux_bin,nus_null_bin,savaux_correct,nus_null_correct,changed,fix,break,activated,sensed_delta_bin,sensed_stability,alternative_bin,savaux_glrt,alternative_glrt,savaux_nullability,alternative_nullability,dataset,snr_db,seed,echo_delay_samples
3,28,7,7,7,1,1,0,0,0,1,-8,9.514534467017752,15,0.11745913530459735,0.002277261403801049,0.4187755745663952,0.4961515551439144,0_0_0_10_14_16,-24.0,43,32
3,29,610,610,610,1,1,0,0,0,1,-8,9.514534467017752,618,0.2033877824315714,0.00035809242573265146,0.5118285809782452,0.5054713388190459,0_0_0_10_14_16,-24.0,43,32
3,30,778,770,770,0,0,0,0,0,1,-8,9.514534467017752,778,0.08522717367242852,0.03529849793741186,0.4936516717304372,0.49439233539159283,0_0_0_10_14_16,-24.0,43,32
3,31,897,889,889,0,0,0,0,0,1,-8,9.514534467017752,897,0.09127770338718505,0.03406946270508755,0.4959526044719446,0.4937468180020137,0_0_0_10_14_16,-24.0,43,32
3,32,740,740,740,1,1,0,0,0,1,-8,9.514534467017752,748,0.1720252378127926,0.020100871860802443,0.5102366720518471,0.5039385905680377,0_0_0_10_14_16,-24.0,43,32
3,33,590,590,590,1,1,0,0,0,1,-8,9.514534467017752,598,0.1357554892945732,0.0005996029309865271,0.5242808799975959,0.5203942732397729,0_0_0_10_14_16,-24.0,43,32
3,34,930,930,930,1,1,0,0,0,1,-8,9.514534467017752,938,0.1479431520117103,0.029951819209778876,0.5090022673862067,0.515269727051402,0_0_0_10_14_16,-24.0,43,32
1,0,222,222,222,1,1,0,0,0,1,-8,24.723731130261235,230,0.2122361564003576,0.010722477945374126,0.5149264939770448,0.5086361809225186,0_0_0_10_14_16,-20.0,44,32
1,1,826,826,826,1,1,0,0,0,1,-8,24.723731130261235,834,0.07392333667146904,0.005724096278320802,0.5244436425892218,0.5261122917492119,0_0_0_10_14_16,-20.0,44,32
1,2,922,914,914,0,0,0,0,0,1,-8,24.723731130261235,922,0.09915894788485709,0.07566858175022251,0.49763080264684717,0.5027926917934386,0_0_0_10_14_16,-20.0,44,32
1,3,718,718,718,1,1,0,0,0,1,-8,24.723731130261235,726,0.0925197354769585,0.0012620352988368083,0.5242808826762598,0.5203942980100417,0_0_0_10_14_16,-20.0,44,32
1,4,107,107,107,1,1,0,0,0,1,-8,24.723731130261235,115,0.14414740180164337,0.008123855443022384,0.5046992231006099,0.4990999363723785,0_0_0_10_14_16,-20.0,44,32
1,5,468,468,468,1,1,0,0,0,1,-8,24.723731130261235,476,0.15838011970918206,0.003708578247222075,0.5215385937384778,0.5164039914017025,0_0_0_10_14_16,-20.0,44,32
1,6,89,89,89,1,1,0,0,0,1,-8,24.723731130261235,97,0.13734829706370813,0.0004071091710138814,0.5184933135786134,0.5126166013105199,0_0_0_10_14_16,-20.0,44,32
1,7,713,713,713,1,1,0,0,0,1,-8,24.723731130261235,721,0.12354676233320835,0.02991189321009293,0.5256700671073061,0.5230468626862969,0_0_0_10_14_16,-20.0,44,32
1,8,865,865,865,1,1,0,0,0,1,-8,24.723731130261235,873,0.13780627430976736,0.0023872333945875765,0.5126165549954868,0.5062530484237145,0_0_0_10_14_16,-20.0,44,32
1,9,492,492,492,1,1,0,0,0,1,-8,24.723731130261235,500,0.12241046267875848,0.005482594716280505,0.5039385924873511,0.49850026538071635,0_0_0_10_14_16,-20.0,44,32
1,10,765,765,765,1,1,0,0,0,1,-8,24.723731130261235,773,0.09304671926305517,0.0011569480508961292,0.49453720657165595,0.4936175599558388,0_0_0_10_14_16,-20.0,44,32
1,11,1023,1015,1015,0,0,0,0,0,1,-8,24.723731130261235,1023,0.11916583755293439,0.10540158630409703,0.4968754637353091,0.4940609415771223,0_0_0_10_14_16,-20.0,44,32
1,12,597,597,597,1,1,0,0,0,1,-8,24.723731130261235,605,0.11376794284632268,0.00010921585740561477,0.5209795328613301,0.5156726285813555,0_0_0_10_14_16,-20.0,44,32
1,13,562,562,562,1,1,0,0,0,1,-8,24.723731130261235,570,0.06900756787759277,0.005637132893603182,0.5206652619186204,0.5244436040903206,0_0_0_10_14_16,-20.0,44,32
1,14,478,470,470,0,0,0,0,0,1,-8,24.723731130261235,478,0.10335993059250777,0.0951767354880926,0.5203942117615519,0.514926531914235,0_0_0_10_14_16,-20.0,44,32
1,15,267,267,267,1,1,0,0,0,1,-8,24.723731130261235,275,0.07807973469808047,0.002285702561648982,0.49466838903820576,0.49818663116029116,0_0_0_10_14_16,-20.0,44,32
1,16,917,917,917,1,1,0,0,0,1,-8,24.723731130261235,925,0.17523331379939913,0.0012822444695486414,0.49938339528957343,0.5050511528288352,0_0_0_10_14_16,-20.0,44,32
1,17,656,648,648,0,0,0,0,0,1,-8,26.688610871036342,656,0.15582120888056508,0.08942964013074356,0.4939594892832399,0.4966118348574097,0_0_0_10_14_16,-20.0,44,32
1,18,889,881,889,0,1,1,1,0,1,-8,26.688610871036342,889,0.06812658741253988,0.07125944299044755,0.5003770460898251,0.4959526044719446,0_0_0_10_14_16,-20.0,44,32
1,19,510,510,510,1,1,0,0,0,1,-8,26.688610871036342,518,0.08390381589929906,0.0025225280208053926,0.49427907285239253,0.49368997794979746,0_0_0_10_14_16,-20.0,44,32
1,20,860,860,860,1,1,0,0,0,1,-8,26.688610871036342,868,0.15736020304981654,0.006102229194060391,0.5164039931256337,0.5102366712249385,0_0_0_10_14_16,-20.0,44,32
1,21,553,553,553,1,1,0,0,0,1,-8,26.688610871036342,561,0.14698622198258382,0.02872031047402541,0.5145162505505466,0.5200661786153581,0_0_0_10_14_16,-20.0,44,32
1,22,629,621,621,0,0,0,0,0,1,-8,26.688610871036342,629,0.09223929912841643,0.08700859716949327,0.5031915460149945,0.4979285176433015,0_0_0_10_14_16,-20.0,44,32
1,23,759,759,759,1,1,0,0,0,1,-8,26.688610871036342,767,0.11682767827240946,0.005483636334805376,0.49687548037406915,0.4940609226366458,0_0_0_10_14_16,-20.0,44,32
1,24,874,874,874,1,1,0,0,0,1,-8,26.688610871036342,882,0.1297647533108109,0.0006499538166328686,0.5054713111021503,0.499726180523505,0_0_0_10_14_16,-20.0,44,32
1,25,720,712,712,0,0,0,0,0,1,-8,26.688610871036342,720,0.11873006647379131,0.10242435122435779,0.5258424740020174,0.5234899263813441,0_0_0_10_14_16,-20.0,44,32
1,26,314,306,314,0,1,1,1,0,1,-8,26.688610871036342,314,0.0566114296900744,0.07561848714898332,0.5206652292790039,0.524443520468808,0_0_0_10_14_16,-20.0,44,32
1,27,602,602,602,1,1,0,0,0,1,-8,26.688610871036342,610,0.07375333186922883,0.0003990632799145075,0.5178159067064343,0.5118285809782452,0_0_0_10_14_16,-20.0,44,32
1,28,7,7,7,1,1,0,0,0,1,-8,26.688610871036342,15,0.060725098841600295,5.47070290054498e-06,0.4187755745663952,0.4961515551439144,0_0_0_10_14_16,-20.0,44,32
1,29,610,610,610,1,1,0,0,0,1,-8,26.688610871036342,618,0.09808676162613225,0.0014110590340550436,0.5118285809782452,0.5054713388190459,0_0_0_10_14_16,-20.0,44,32
1,30,807,807,807,1,1,0,0,0,1,-8,26.688610871036342,815,0.09879349336423862,0.0026104579782385796,0.5129746587235926,0.5187964032558673,0_0_0_10_14_16,-20.0,44,32
1,31,897,897,897,1,1,0,0,0,1,-8,26.688610871036342,905,0.14143620892701383,0.0013343872289660094,0.4937468180020137,0.4941556999972601,0_0_0_10_14_16,-20.0,44,32
1,32,749,749,749,1,1,0,0,0,1,-8,26.688610871036342,757,0.06891365170190542,0.00025009548585062187,0.5031915003040913,0.4979284613185229,0_0_0_10_14_16,-20.0,44,32
1,33,584,584,584,1,1,0,0,0,1,-8,26.688610871036342,592,0.13222196036776437,0.0038608720256902798,0.5258424758926223,0.523489930227648,0_0_0_10_14_16,-20.0,44,32
1,34,934,934,934,1,1,0,0,0,1,-8,26.688610871036342,942,0.06629314702347801,0.013481133038077195,0.5121900092441972,0.5181283980569429,0_0_0_10_14_16,-20.0,44,32
2,0,803,795,795,0,0,0,0,0,1,-8,24.947738340191417,803,0.08315071000437833,0.06495433051994268,0.5035315665453747,0.5098028117330561,0_0_0_10_14_16,-20.0,44,32
2,1,826,826,826,1,1,0,0,0,1,-8,24.947738340191417,834,0.1797849985617861,0.0014246130936772146,0.5244436425892218,0.5261122917492119,0_0_0_10_14_16,-20.0,44,32
2,2,922,922,922,1,1,0,0,0,1,-8,24.947738340191417,930,0.14007463253109473,0.0027230267334725907,0.5027926917934386,0.5090022673862067,0_0_0_10_14_16,-20.0,44,32
2,3,718,718,718,1,1,0,0,0,1,-8,24.947738340191417,726,0.08343085793904537,0.03650828072589833,0.5242808826762598,0.5203942980100417,0_0_0_10_14_16,-20.0,44,32
2,4,86,86,86,1,1,0,0,0,1,-8,24.947738340191417,94,0.16193504982436144,0.005314607096535384,0.5203942323421468,0.5149264557790982,0_0_0_10_14_16,-20.0,44,32
2,5,468,460,468,0,1,1,1,0,1,-8,24.947738340191417,468,0.10166590390725251,0.11301987084167274,0.5249399951300193,0.5215385937384778,0_0_0_10_14_16,-20.0,44,32
