dataset,target_snr_db,packet_count,center_symbol_ser,center_symbol_accuracy,center_crc_valid_rate,multi_symbol_ser,multi_symbol_accuracy,multi_crc_valid_rate,selected_symbol_ser,selected_symbol_accuracy,selected_crc_valid_rate,selected_ser_gain_vs_center,selected_crc_gain_vs_center,selected_ser_gain_vs_multi,selected_crc_gain_vs_multi,mean_locked_ratio,mean_false_lock_rate,mean_uncertain_candidate_recall,mean_selected_offset_coherence,mean_phase_line_r2,mean_phase_line_rmse_pi
0_0_0_10_14_16,-20.0,11,0.35844155844155845,0.6415584415584417,0.0,0.015584415584415584,0.9844155844155845,0.6363636363636364,0.005194805194805195,0.9948051948051948,0.8181818181818182,0.35324675324675325,0.8181818181818182,0.01038961038961039,0.18181818181818188,0.7688311688311689,0.0,1.0,0.9665751103540476,0.9639884510842488,0.2093752400374165
0_0_0_10_14_16,-21.0,11,0.4961038961038961,0.5038961038961038,0.0,0.07012987012987014,0.92987012987013,0.2727272727272727,0.023376623376623374,0.9766233766233765,0.45454545454545453,0.4727272727272727,0.45454545454545453,0.04675324675324677,0.18181818181818182,0.6051948051948052,0.0,0.9597402597402597,0.9573697889372802,0.9627518661779345,0.21330446446211881
0_0_0_10_14_16,-22.0,11,0.6025974025974027,0.3974025974025974,0.0,0.17922077922077922,0.8207792207792209,0.0,0.06493506493506494,0.9350649350649352,0.36363636363636365,0.5376623376623377,0.36363636363636365,0.11428571428571428,0.36363636363636365,0.41558441558441556,0.00505050505050505,0.9246071777215696,0.9446159478875598,0.9468360967723491,0.21592957562710852
0_0_0_10_14_16,-23.0,11,0.7324675324675325,0.2675324675324675,0.0,0.3194805194805194,0.6805194805194805,0.0,0.19480519480519476,0.8051948051948052,0.0,0.5376623376623377,0.0,0.12467532467532466,0.0,0.24675324675324675,0.009090909090909092,0.8179707154790581,0.9237706306029718,0.7573449165255248,0.31457051432971156
0_0_0_10_14_16,-24.0,11,0.8337662337662338,0.16623376623376626,0.0,0.509090909090909,0.49090909090909096,0.0,0.3246753246753247,0.6753246753246753,0.0,0.5090909090909091,0.0,0.18441558441558437,0.0,0.14025974025974028,0.011363636363636364,0.7022420629869562,0.9030026277421747,0.7155645476767549,0.38813175507587966
0_0_0_10_14_16,-25.0,11,0.9116883116883119,0.08831168831168833,0.0,0.6441558441558443,0.35584415584415585,0.0,0.47272727272727266,0.5272727272727273,0.0,0.4389610389610392,0.0,0.1714285714285716,0.0,0.05714285714285714,0.048484848484848485,0.5819787132394947,0.8804905660371741,0.6635036388594517,0.40092664563380026
0_0_0_10_14_16,-26.0,11,0.9506493506493506,0.04935064935064937,0.0,0.7792207792207794,0.2207792207792208,0.0,0.6207792207792208,0.37922077922077924,0.0,0.32987012987012987,0.0,0.1584415584415586,0.0,0.03896103896103897,0.0606060606060606,0.44105941963562284,0.8573399929446797,0.6928604789039762,0.4572216060521358
0_0_0_10_14_32,-12.0,7,0.061224489795918366,0.9387755102040816,0.8571428571428571,0.012244897959183673,0.9877551020408164,0.8571428571428571,0.0,1.0,1.0,0.061224489795918366,0.1428571428571429,0.012244897959183673,0.1428571428571429,0.8244897959183674,0.0,0.7142857142857143,0.9900068187310475,0.932570511617992,0.40238014055655885
0_0_0_10_14_32,-13.0,7,0.07755102040816327,0.9224489795918368,0.8571428571428571,0.024489795918367346,0.9755102040816326,0.8571428571428571,0.016326530612244896,0.9836734693877551,0.8571428571428571,0.061224489795918366,0.0,0.00816326530612245,0.0,0.8040816326530613,0.0,0.8095238095238094,0.9850777768034928,0.9321719397625301,0.405533002105597
0_0_0_10_14_32,-14.0,7,0.10204081632653061,0.8979591836734694,0.8571428571428571,0.03673469387755102,0.963265306122449,0.8571428571428571,0.02040816326530612,0.979591836734694,0.8571428571428571,0.0816326530612245,0.0,0.016326530612244896,0.0,0.7551020408163266,0.0,0.8322981366459627,0.9827678932287968,0.9320934651289907,0.4053295483342237
