dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_raw_bin,selected_raw_bin,savaux_top1_raw_bin,gt_symbol,selected_symbol,savaux_top1_symbol,selected_energy,gt_energy,delta_energy_selected_minus_gt,selected_coherence,gt_coherence,delta_coherence_selected_minus_gt,selected_rank,gt_rank,delta_rank_selected_minus_gt,selected_phase_local,gt_phase_local,delta_phase_local_selected_minus_gt,selected_local_score,gt_local_score,delta_local_score_selected_minus_gt,selected_transition_penalty,gt_transition_penalty,delta_transition_penalty_selected_minus_gt,top1_margin_db,top1_peak_to_median_db,top1_coherence_score,candidate_count,gt_rank_position,selected_rank_position,hard_anchor,high_confidence,pre_hard_anchor_count,hard_anchor_rmse_pi
0_0_0_10_14_16,-26.0,42,3,15,267,455,455,266,454,454,1.0,0.6115390755407208,0.38846092445927916,0.9882961448390991,0.853013303924094,0.1352828409150051,1.0,0.0,1.0,0.01072111200608808,0.8452497136231536,-0.8345286016170655,0.8993746068887939,0.7339199678430279,0.16545463904576596,0.06062856330117415,0.001983785727437787,0.058644777573736366,1.500847842365474,11.759120382268296,0.9882961448390991,4,4,1,0,1,1,inf
0_0_0_10_14_16,-26.0,42,3,25,720,306,306,719,305,305,1.0,0.6786109957674633,0.3213890042325367,0.8383917528318177,0.9232511595915385,-0.08485940675972081,1.0,0.7333333333333334,0.2666666666666666,0.77407202415911,0.9499788384803267,-0.1759068143212167,0.9915298744318211,0.8116745431123843,0.17985533131943676,0.008008692678723346,0.003967151816035687,0.004041540862687659,0.3298487296713606,9.931221583964602,0.8383917528318177,16,5,1,0,0,1,inf
0_0_0_10_14_16,-26.0,42,3,29,610,635,635,609,634,634,1.0,0.5333101005537301,0.46668989944626993,0.8863224112553323,0.9167912674779503,-0.030468856222617968,1.0,0.33333333333333337,0.6666666666666666,0.0,0.0,0.0,0.8772644822510665,0.5566753238832011,0.3205891583678654,0.06023842396828518,0.005921913854228307,0.05431651011405687,1.8251423993529312,12.52215777616852,0.8863224112553323,4,3,1,0,1,1,inf
0_0_0_10_14_16,-26.0,42,3,32,740,803,803,739,802,802,1.0,0.8020122480243805,0.19798775197561946,0.9448737682787376,0.8464772387149995,0.09839652956373812,1.0,0.7333333333333334,0.2666666666666666,0.11747266204328657,0.4939692995489596,-0.37649663750567297,0.9077703795826734,0.8097391092878997,0.09803127029477365,0.06151108309873171,0.033003875968875614,0.028507207129856098,0.2979120578131757,10.375723864879422,0.9448737682787376,16,5,1,0,0,1,inf
0_0_0_10_14_16,-26.0,42,3,33,590,104,104,589,103,103,1.0,0.682258213117332,0.31774178688266796,0.9169798600700232,0.9120540305358544,0.0049258295341687575,1.0,0.6666666666666667,0.33333333333333326,0.0938868614937062,0.9358928512209721,-0.8420059897272659,0.8984178698529975,0.8097344114846589,0.08868345836833869,0.015471293098614006,0.03725812697685844,-0.02178683387824443,1.6605122753044843,12.533885281640343,0.9169798600700232,4,2,1,0,1,1,inf
0_0_0_10_14_16,-26.0,42,5,6,89,296,296,88,295,295,1.0,0.5915997820163945,0.4084002179836055,0.8984922738337421,0.8695828998105555,0.028909374023186607,1.0,0.6666666666666667,0.33333333333333326,0.6239398763449373,0.7366802984154763,-0.11274042207053903,0.9795288349819383,0.7059052751200634,0.2736235598618749,0.0048828121124411625,0.010555294182373031,-0.005672482069931869,0.1390625223343728,11.298965016357682,0.8984922738337421,16,6,1,0,0,4,0.41464701669611376
0_0_0_10_14_16,-26.0,42,5,19,510,214,261,509,213,260,0.8958597884810175,0.7680181593288059,0.12784162915221164,0.9386101643885699,0.9542893327061879,-0.015679168317617953,0.9333333333333333,0.7333333333333334,0.19999999999999996,0.0002947204015814331,0.0031715166544508955,-0.0028767962528694624,0.8148710400786793,0.7289780207361138,0.08589301934256544,0.019553598110239472,0.008392619543967694,0.011160978566271778,0.47759956692730343,10.447511460899719,0.7430734436185712,16,5,2,0,0,4,0.41464701669611376
0_0_0_10_14_16,-26.0,42,5,23,759,601,601,758,600,600,1.0,0.6245989050829154,0.3754010949170846,0.9233962804295732,0.7532588716041917,0.17013740882538153,1.0,0.33333333333333337,0.6666666666666666,0.609672106702671,0.23235799404122195,0.3773141126614491,0.9822267931583419,0.6250482869254746,0.3571785062328673,0.013482798242576734,0.0044591171494987305,0.009023681093078002,0.4340761921244355,10.303578557253694,0.9233962804295732,16,11,1,0,0,4,0.41464701669611376
0_0_0_10_14_16,-26.0,42,5,24,874,680,473,873,679,472,0.9254487149575659,0.6979845318019073,0.22746418315565853,0.8036643429304299,0.9277258156626782,-0.12406147273224832,0.9333333333333333,0.8,0.1333333333333333,0.6783173490081895,0.6834388326035911,-0.005121483595401544,0.9170777448976923,0.7834845486104453,0.13359319628724708,0.0037014330213890273,0.003613400765597861,8.80322557911665e-05,0.3364764328391495,10.328260062170978,0.9540762336117727,16,4,2,0,0,4,0.41464701669611376
0_0_0_10_14_16,-26.0,42,5,28,7,663,663,6,662,662,1.0,0.8545093918247836,0.14549060817521642,0.9584976605405505,0.7434425688914709,0.21505509164907965,1.0,0.7333333333333334,0.2666666666666666,0.0,0.0,0.0,0.89169953210811,0.7468450880556426,0.1448544440524674,0.0457181555213565,0.03772337426579831,0.007994781255558192,0.03227916455606871,10.578174837010527,0.9584976605405505,16,5,1,0,0,4,0.41464701669611376
