payload_symbol_index,gt_raw_fft_bin,savaux_argmax_bin,fused_argmax_bin,savaux_gt_rank,fused_gt_rank,rank_delta,savaux_gt_topk,fused_gt_topk,savaux_correct,fused_correct,gt_in_structured_topk,gt_path_ratio,gt_path_name,evidence_mode,dataset,target_snr_db,packet_index
15,267,267,267,1,1,0,1,1,1,1,1,0.0893508125606213,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,3
16,917,917,917,1,1,0,1,1,1,1,1,0.05221323244477623,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,3
17,656,656,656,1,1,0,1,1,1,1,1,0.04436088529255393,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,3
18,889,719,889,2,1,1,1,1,0,1,1,0.13536000909489673,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,3
19,510,510,510,1,1,0,1,1,1,1,1,0.11986277866234336,tau0_slope0,timing,0_0_0_10_14_8,-25.0,3
20,860,860,860,1,1,0,1,1,1,1,1,0.14604300328005193,tau0_slope0,timing,0_0_0_10_14_8,-25.0,3
21,553,553,553,1,1,0,1,1,1,1,1,0.11127659194303131,tau0_slope0,timing,0_0_0_10_14_8,-25.0,3
22,629,629,629,1,1,0,1,1,1,1,1,0.0699549983270885,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,3
23,759,837,915,5,33,-28,1,0,0,0,1,0.08885091391427313,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,3
24,874,874,874,1,1,0,1,1,1,1,1,0.06390655046215715,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,3
25,720,720,720,1,1,0,1,1,1,1,1,0.08948352864517377,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,3
26,314,314,314,1,1,0,1,1,1,1,1,0.0832072925327655,tau0_slope0,timing,0_0_0_10_14_8,-25.0,3
27,602,602,602,1,1,0,1,1,1,1,1,0.11544687622052136,tau0_slope-0.5,timing,0_0_0_10_14_8,-25.0,3
28,7,7,7,1,1,0,1,1,1,1,1,0.1025460163004044,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,3
29,610,610,610,1,1,0,1,1,1,1,1,0.09895852057158569,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,3
30,887,887,887,1,1,0,1,1,1,1,1,0.056867564045609977,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,3
31,912,912,912,1,1,0,1,1,1,1,1,0.0788759053907716,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,3
32,737,737,737,1,1,0,1,1,1,1,1,0.05951755627520318,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,3
33,577,577,577,1,1,0,1,1,1,1,1,0.09725255364924175,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,3
34,930,930,930,1,1,0,1,1,1,1,1,0.03826338771738749,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,3
0,803,803,803,1,1,0,1,1,1,1,1,0.09975610124842513,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,4
1,826,826,826,1,1,0,1,1,1,1,1,0.06370155968609931,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,4
2,871,871,871,1,1,0,1,1,1,1,1,0.08845336933273562,tau0_slope0,timing,0_0_0_10_14_8,-25.0,4
3,718,617,431,4,25,-21,1,0,0,0,1,0.09932865495518434,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,4
4,107,107,478,1,2,-1,1,1,1,0,1,0.08238840971307912,tau0_slope0,timing,0_0_0_10_14_8,-25.0,4
5,467,467,467,1,1,0,1,1,1,1,1,0.06354626417042075,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,4
6,89,89,89,1,1,0,1,1,1,1,1,0.11274106405300825,tau0_slope0,timing,0_0_0_10_14_8,-25.0,4
7,713,713,713,1,1,0,1,1,1,1,1,0.10123122478416037,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,4
8,865,865,865,1,1,0,1,1,1,1,1,0.12278353480794026,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,4
9,405,405,405,1,1,0,1,1,1,1,1,0.12489613627245853,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,4
10,765,963,364,5,19,-14,1,0,0,0,1,0.0884478594571934,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,4
11,1023,1023,1023,1,1,0,1,1,1,1,1,0.08773166051452329,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,4
12,597,597,597,1,1,0,1,1,1,1,1,0.07394750008277252,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,4
13,562,562,562,1,1,0,1,1,1,1,1,0.0817738194024021,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,4
14,478,478,478,1,1,0,1,1,1,1,1,0.07499757518745548,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,4
15,267,267,267,1,1,0,1,1,1,1,1,0.11399488510429395,tau0_slope0.5,timing,0_0_0_10_14_8,-25.0,4
16,917,917,917,1,1,0,1,1,1,1,1,0.2212872076179792,tau0_slope0,timing,0_0_0_10_14_8,-25.0,4
17,656,159,159,2,3,-1,1,1,0,0,1,0.0565422143744406,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,4
18,889,889,889,1,1,0,1,1,1,1,1,0.07405708652148038,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,4
19,510,510,510,1,1,0,1,1,1,1,1,0.06164295809778333,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,4
20,860,860,860,1,1,0,1,1,1,1,1,0.04950495181255436,tau0.5_slope0,timing,0_0_0_10_14_8,-25.0,4
21,553,553,553,1,1,0,1,1,1,1,1,0.06084473216457049,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,4
22,629,629,629,1,1,0,1,1,1,1,1,0.08650152978182317,tau0_slope0,timing,0_0_0_10_14_8,-25.0,4
