trial_id,esn0_db,seed,clean_symbol_index,packet_id,reference_id,payload_index,gt_symbol,decision_q2,is_error,true_rank_q2,true_in_top4,true_in_top8,true_in_top16,signal_power,added_noise_power,wrong_symbol,c_1m_true,c_1m_wrong,delta_c_1m,c_multirate_true,c_multirate_wrong,delta_c_multirate,ratio_variance_true,ratio_variance_wrong,delta_wrong_minus_true_ratio_variance,c_1m_true_wins,c_multirate_true_wins,true_ratio_variance_is_lower
10:20260821:103,10.0,20260821,103,exp0_000004_rxg20_0_fulltrim,4,12,213,4011,1,3,1,1,1,4.5580639758656736e-08,1.86698300451458e-05,4011,-0.0004431283040155357,-2.3759728088709343e-06,-0.0004407523312066648,-0.0024551849142593406,-5.9632168504810034e-05,-0.0023955527457545306,3.122997154416786e-05,1.4760201778481018e-05,-1.6469769765686842e-05,0,0,0
10:20260821:104,10.0,20260821,104,exp0_000004_rxg20_0_fulltrim,4,13,1385,3746,1,9,0,0,1,4.4617085211113114e-08,1.827515810247193e-05,3746,-0.03127348469268891,-0.0006100991342865764,-0.030663385558402333,-0.09160035706011803,-0.0030565827274570707,-0.08854377433266096,2.3254890596252084e-06,2.635611356729861e-05,2.4030624507673404e-05,0,0,1
10:20260821:105,10.0,20260821,105,exp0_000004_rxg20_0_fulltrim,4,14,2473,1416,1,130,0,0,0,4.4256107747480834e-08,1.812730173336815e-05,1416,-0.002465633864457738,-0.017104643429686116,0.014639009565228378,-0.006024479503690931,-0.05282879613430158,0.04680431663061065,2.242986050780737e-05,7.410496220202771e-06,-1.5019364287604598e-05,1,1,0
10:20260821:106,10.0,20260821,106,exp0_000004_rxg20_0_fulltrim,4,15,1449,3580,1,10,0,0,1,4.563515593836338e-08,1.869215987235364e-05,3580,-0.00709707322224411,-0.0005049418537771423,-0.006592131368466968,-0.022476905460817737,-0.0022986857444164677,-0.02017821971640127,6.049014887364062e-06,1.323064852450247e-05,7.1816336371384085e-06,0,0,1
10:20260821:107,10.0,20260821,107,exp0_000004_rxg20_0_fulltrim,4,16,3157,169,1,3,1,1,1,4.70494773734987e-08,1.9271465932185065e-05,169,-0.008681642401724313,-0.0016746576185158236,-0.00700698478320849,-0.025877651061494217,-0.005368614297571508,-0.02050903676392271,2.127318768804019e-07,6.643358867570122e-06,6.430626990689721e-06,0,0,1
10:20260821:108,10.0,20260821,108,exp0_000004_rxg20_0_fulltrim,4,17,1013,1061,1,5,0,1,1,4.915906440463978e-08,2.0135552780140454e-05,1061,-0.006263505811504666,-0.0007688015761378588,-0.005494704235366807,-0.01989009297471916,-0.002388196109826569,-0.01750189686489259,4.978066683683077e-06,1.3498587495524107e-07,-4.843080808727836e-06,0,0,0
10:20260821:109,10.0,20260821,109,exp0_000004_rxg20_0_fulltrim,4,18,2033,3484,1,645,0,0,0,5.006619798609439e-08,2.0507114695104263e-05,3484,-0.00770315213695877,-0.001625085568626461,-0.006078066568332309,-0.02151868953145029,-0.005037311493924345,-0.016481378037525946,1.351807993530288e-05,2.8369373607274318e-05,1.4851293671971438e-05,0,0,1
10:20260821:110,10.0,20260821,110,exp0_000004_rxg20_0_fulltrim,4,19,1361,19,1,44,0,0,0,5.239450365795853e-08,2.1460788698299813e-05,19,-0.0021972120385058626,-0.0006960548444636338,-0.0015011571940422288,-0.006956663589357498,-0.004279107683443096,-0.0026775559059144015,1.776591245240045e-05,8.143145165660597e-05,6.366553920420552e-05,0,0,1
10:20260821:112,10.0,20260821,112,exp0_000004_rxg20_0_fulltrim,4,21,2965,2966,1,25,0,0,0,5.7458506812434e-08,2.3535004390372967e-05,2966,-5.026341396926037e-05,-0.003843747674137646,0.0037934842601683857,-0.00023969423850330753,-0.012281965636870385,0.012042271398367077,5.437526421756456e-06,3.1088958995121013e-06,-2.328630522244355e-06,1,1,0
10:20260821:113,10.0,20260821,113,exp0_000004_rxg20_0_fulltrim,4,22,3321,3865,1,71,0,0,0,5.831985063599937e-08,2.388781082050534e-05,3865,-0.018861411314904222,-0.0007645135064629357,-0.018096897808441287,-0.052410067423286556,-0.0025628061554753066,-0.04984726126781125,3.1271210658899354e-05,1.2389656442532584e-06,-3.0032245014646097e-05,0,0,0
10:20260821:114,10.0,20260821,114,exp0_000004_rxg20_0_fulltrim,4,23,2253,67,1,22,0,0,0,6.212196775232584e-08,2.5445157991352664e-05,67,-0.035135512006047406,-0.00026435598840548194,-0.03487115601764192,-0.10169459194170546,-0.0009780537195736205,-0.10071653822213185,1.0275696074021194e-05,8.330681653689552e-06,-1.9450144203316424e-06,0,0,0
10:20260821:115,10.0,20260821,115,exp0_000004_rxg20_0_fulltrim,4,24,3105,226,1,32,0,0,0,6.49452103014986e-08,2.6601558139493826e-05,226,-0.003947659965402865,-0.0011483103622887609,-0.0027993496031141043,-0.011910177243054588,-0.004275500303808575,-0.0076346769392460125,2.102076107560291e-06,3.7444920729223444e-05,3.534284462166315e-05,0,0,1
10:20260821:116,10.0,20260821,116,exp0_000004_rxg20_0_fulltrim,4,25,2373,3837,1,34,0,0,0,5.8547636028418385e-08,2.398111171724017e-05,3837,-0.02534693677249789,-0.0009213586230053052,-0.024425578149492585,-0.0784206692857302,-0.00218117007006056,-0.07623949921566964,5.134416112036896e-06,8.509749624085637e-06,3.375333512048741e-06,0,0,1
10:20260821:117,10.0,20260821,117,exp0_000004_rxg20_0_fulltrim,4,26,3849,1057,1,21,0,0,0,5.850730340253594e-08,2.396459147367872e-05,1057,-0.0011571011664577371,-0.013267233237349216,0.01211013207089148,-0.0027090853942820783,-0.03988368455504333,0.037174599160761254,2.272233029654464e-05,1.3402596719541172e-06,-2.1382070624590523e-05,1,1,0
10:20260821:118,10.0,20260821,118,exp0_000004_rxg20_0_fulltrim,4,27,465,3820,1,16,0,0,1,6.049199774171361e-08,2.4777522275005894e-05,3820,-0.004705455901237372,-0.012025697675032452,0.00732024177379508,-0.013251474618700769,-0.03427904616122393,0.02102757154252316,1.2917044893557628e-05,1.7155827509616844e-05,4.238782616059216e-06,1,1,1
10:20260821:121,10.0,20260821,121,exp0_000004_rxg20_0_fulltrim,4,30,701,143,1,12,0,0,1,5.894161321915254e-08,2.4142484774564882e-05,143,-0.012796406497274187,-0.0011149461109383513,-0.011681460386335836,-0.038571217367948954,-0.002782364459535825,-0.03578885290841313,6.804049654390164e-07,1.536368355212524e-05,1.4683278586686224e-05,0,0,1
10:20260821:123,10.0,20260821,123,exp0_000005_rxg20_0_fulltrim,5,0,3293,364,1,6,0,1,1,7.249505305370264e-08,2.96939737307966e-05,364,-8.402867035554668e-05,-0.002082666108190766,0.0019986374378352196,-0.00010240315373647552,-0.0063292976680474865,0.006226894514311011,1.5446994999409844e-05,5.179211627207831e-07,-1.492907383668906e-05,1,1,0
10:20260821:125,10.0,20260821,125,exp0_000005_rxg20_0_fulltrim,5,2,1433,3749,1,352,0,0,0,7.34177059824057e-08,3.0071892370393377e-05,3749,-2.0436922341359077e-08,-0.001883859174565446,0.0018838387376431047,-3.1525957999163024e-05,-0.004086744371118279,0.004055218413119116,5.049264315965543e-06,3.455863307430085e-05,2.9509368758335308e-05,1,1,1
10:20260821:126,10.0,20260821,126,exp0_000005_rxg20_0_fulltrim,5,3,2865,382,1,83,0,0,0,7.379963170968246e-08,3.0228329148285937e-05,382,-6.480798121322249e-06,-0.00036848748745448576,0.0003620066893331635,-3.657701283589501e-05,-0.001587065590280487,0.001550488577444592,7.692931989046444e-06,1.8552349839228686e-05,1.0859417850182242e-05,1,1,1
10:20260821:127,10.0,20260821,127,exp0_000005_rxg20_0_fulltrim,5,4,3469,3470,1,2,1,1,1,7.13478549320875e-08,2.922408138018304e-05,3470,-0.0027320977635571747,-0.003475216660088016,0.0007431188965308414,-0.008129010718997815,-0.011071684038018845,0.00294267331902103,7.614375758076404e-08,1.9150720492616847e-06,1.8389282916809206e-06,1,1,1
10:20260821:128,10.0,20260821,128,exp0_000005_rxg20_0_fulltrim,5,5,3985,3986,1,2,1,1,1,7.13836115905981e-08,2.9238727307508978e-05,3986,-0.0002932939540155485,-0.00033474505426894736,4.1451100253398865e-05,-0.000644025298050229,-0.0009724329819731126,0.00032840768392288357,3.4795372161697642e-06,1.3094288726643084e-05,9.614751510473319e-06,1,1,1
