file_name,lab_name,experiment_id,corridor_id,position_id,tx_power_dbm,filename_sf,filename_tx_power_dbm,filename_preamble_len,header_packet_counter,packet_avg_power_db,preamble_peak_to_residual_db,preamble_peak_width_3db_bins_avg,preamble_peak_mag_bin_-8,preamble_peak_mag_bin_-7,preamble_peak_mag_bin_-6,preamble_peak_mag_bin_-5,preamble_peak_mag_bin_-4,preamble_peak_mag_bin_-3,preamble_peak_mag_bin_-2,preamble_peak_mag_bin_-1,preamble_peak_mag_bin_+0,preamble_peak_mag_bin_+1,preamble_peak_mag_bin_+2,preamble_peak_mag_bin_+3,preamble_peak_mag_bin_+4,preamble_peak_mag_bin_+5,preamble_peak_mag_bin_+6,preamble_peak_mag_bin_+7,preamble_peak_mag_bin_+8
1_0_13_12_14_16.bin,lab1-SF12-TP14,1,0,13,14,12,14,16,,-42.9553798,-3.80084443,1.76160073,0.0544292592,0.0814743787,0.0682142526,0.103601158,0.106398202,0.172852963,0.226705194,0.553359807,1,0.692606628,0.273751348,0.167512923,0.130199432,0.0886475369,0.0851953551,0.0727466196,0.0694032982
1_0_13_12_14_16.bin,lab1-SF12-TP14,1,0,13,14,12,14,16,,-43.2516308,-2.14540148,1.2283628,0.0239701234,0.0712722912,0.0357100368,0.102668189,0.0607834458,0.141174942,0.133090258,0.314077795,1,0.621712148,0.241171613,0.132717475,0.112227656,0.0759054273,0.0775935128,0.0481157899,0.0586582907
1_0_13_12_14_16.bin,lab1-SF12-TP14,1,0,13,14,12,14,16,,-43.5604214,-2.52163243,1.13928759,0.0237111896,0.0718136951,0.0296462383,0.0982063115,0.0613292456,0.135507226,0.124520697,0.29716602,1,0.581032515,0.226133078,0.131747589,0.104981661,0.0688630939,0.0792990997,0.0453372151,0.0539572351
1_0_14_12_14_16.bin,lab1-SF12-TP14,1,0,14,14,12,14,16,,-60.1307494,-23.1936626,1.36219275,0.231300086,0.272263587,0.212225884,0.326081425,0.278275907,0.289675474,0.28542015,0.624451995,1,0.361845583,0.319262028,0.267191619,0.324714333,0.271916538,0.230182886,0.286503345,0.291026503
1_0_14_12_14_16.bin,lab1-SF12-TP14,1,0,14,14,12,14,16,,-60.5695017,-18.6649399,0.875571966,0.125305757,0.173956245,0.162264332,0.168908134,0.150749117,0.176629379,0.227668703,0.380007088,1,0.236994743,0.174941316,0.182350263,0.178107917,0.16036126,0.190230146,0.107097656,0.154966578
1_0_14_12_14_16.bin,lab1-SF12-TP14,1,0,14,14,12,14,16,,-61.3806651,-23.3419323,1.8347199,0.276670098,0.250584662,0.304858297,0.258335561,0.239257932,0.325912327,0.355163664,0.724317133,1,0.500550747,0.417055786,0.322262645,0.212112203,0.316576928,0.301698267,0.246747002,0.29976055
1_0_14_12_14_16.bin,lab1-SF12-TP14,1,0,14,14,12,14,16,,-61.2439799,-22.2834263,1.79544604,0.237296835,0.303801447,0.233364701,0.274659693,0.209756419,0.221284285,0.316652387,0.722981513,1,0.471644729,0.277287245,0.238999486,0.218560666,0.256374478,0.283089608,0.218127772,0.244697645
1_0_14_12_14_16.bin,lab1-SF12-TP14,1,0,14,14,12,14,16,,-52.9215569,-15.7898092,1.74984574,0.108523093,0.122147292,0.110447057,0.125805423,0.180438519,0.169197559,0.284332633,0.717649043,1,0.496876001,0.228918672,0.207114667,0.138210073,0.100297205,0.116117343,0.106851712,0.113428801
1_0_14_12_14_16.bin,lab1-SF12-TP14,1,0,14,14,12,14,16,,-56.0619074,-15.5317631,0.904534519,0.117283657,0.0908957645,0.118079662,0.149201125,0.101709165,0.149302289,0.142196596,0.249037221,1,0.417863041,0.201097608,0.140953988,0.125773653,0.120239727,0.141836479,0.114834704,0.102288425
1_0_14_12_14_16.bin,lab1-SF12-TP14,1,0,14,14,12,14,16,,-55.7484124,-17.2795105,1.3956244,0.124728255,0.125102818,0.148437828,0.129413947,0.128980353,0.180417791,0.17604652,0.277576238,1,0.709460795,0.254498214,0.182423234,0.168038964,0.146898568,0.125181839,0.130266532,0.136060998
1_0_14_12_14_16.bin,lab1-SF12-TP14,1,0,14,14,12,14,16,,-55.269527,-14.0756683,0.952177644,0.0815203115,0.111817047,0.106145099,0.116162106,0.122704372,0.161597952,0.148480773,0.272895515,1,0.436444044,0.209850162,0.151267067,0.120287225,0.129089102,0.109836534,0.103227705,0.0978718922
1_0_14_12_14_16.bin,lab1-SF12-TP14,1,0,14,14,12,14,16,,-56.1219246,-15.000124,0.967153668,0.110969946,0.0885288566,0.0746249855,0.124675117,0.105714127,0.133723885,0.132969543,0.261882454,1,0.476148546,0.202164277,0.138298452,0.100237943,0.103998616,0.0818304569,0.096130915,0.0973742753
1_0_14_12_14_16.bin,lab1-SF12-TP14,1,0,14,14,12,14,16,,-56.7538489,-16.1008244,0.896547496,0.140316635,0.14395377,0.13307853,0.143441364,0.153044552,0.207751721,0.165210649,0.259015262,1,0.373049676,0.196302161,0.171486646,0.17449002,0.183499888,0.0992241576,0.128859296,0.140578434
1_0_14_12_14_16.bin,lab1-SF12-TP14,1,0,14,14,12,14,16,,-54.6135432,-12.8283463,0.704163969,0.0787017792,0.0994436964,0.0615208037,0.0872941837,0.0595864318,0.083181411,0.0985911116,0.144827724,1,0.185218289,0.0953454524,0.092339009,0.0717111751,0.0683658272,0.0570636205,0.0783882588,0.071133323
1_0_15_12_14_16.bin,lab1-SF12-TP14,1,0,15,14,12,14,16,,-47.7204245,1.97662401,0.696788549,0.0463706702,0.00936258398,0.054395467,0.0177216325,0.0689067021,0.0365833975,0.113572761,0.177040324,1,0.142822474,0.0709185973,0.0594489314,0.0306621306,0.0391547047,0.0202163793,0.0315370783,0.0136084585
1_0_15_12_14_16.bin,lab1-SF12-TP14,1,0,15,14,12,14,16,,-57.889809,-16.85112,0.834475696,0.119494043,0.11109817,0.118957728,0.143171906,0.154964045,0.10511931,0.183451697,0.333638817,1,0.227673858,0.148215711,0.144098297,0.139002204,0.144238845,0.128583223,0.103250019,0.104736432
1_0_15_12_14_16.bin,lab1-SF12-TP14,1,0,15,14,12,14,16,,-58.5672301,-18.376997,1.75277901,0.116555341,0.135204718,0.144310549,0.114440203,0.179858759,0.253639489,0.339284152,0.805217922,1,0.395347834,0.212465048,0.142364502,0.145390958,0.124108419,0.146115676,0.108131044,0.148945108
1_0_15_12_14_16.bin,lab1-SF12-TP14,1,0,15,14,12,14,16,,-46.2530028,-11.4295645,1.67968667,0.0616526753,0.0985913128,0.0742438883,0.118108548,0.0908342674,0.140026987,0.165753812,0.335689068,1,0.856478989,0.295795709,0.197361469,0.123946793,0.0946931317,0.0961485654,0.0857645124,0.0874409303
1_0_15_12_14_16.bin,lab1-SF12-TP14,1,0,15,14,12,14,16,,-43.4396333,-2.51181102,1.43753088,0.0254834797,0.0868550092,0.0371731147,0.1060028,0.068089962,0.149010986,0.143657476,0.330578297,1,0.71618849,0.276326597,0.149756402,0.126863524,0.083148472,0.0848189071,0.0550538003,0.0644673929
