dataset,target_snr_db,packet_count,center_symbol_ser,center_symbol_accuracy,center_crc_valid_rate,multi_symbol_ser,multi_symbol_accuracy,multi_crc_valid_rate,selected_symbol_ser,selected_symbol_accuracy,selected_crc_valid_rate,selected_ser_gain_vs_center,selected_crc_gain_vs_center,selected_ser_gain_vs_multi,selected_crc_gain_vs_multi,mean_locked_ratio,mean_false_lock_rate,mean_uncertain_candidate_recall,mean_phase_line_r2,mean_phase_line_rmse_pi
0_0_0_10_14_16,-18.0,11,0.11948051948051944,0.8805194805194805,0.09090909090909091,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0,1.0,1.0,0.11948051948051944,0.9090909090909091,0.0025974025974025974,0.09090909090909094,0.9376623376623375,0.0,0.45454545454545453,0.9812077671297156,0.12264897012426416
0_0_0_10_14_16,-19.0,11,0.2363636363636363,0.7636363636363637,0.0,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.2337662337662337,0.9090909090909091,0.0,0.0,0.8701298701298701,0.0,1.0,0.9807443296857099,0.12646543080286915
0_0_0_10_14_16,-20.0,11,0.35844155844155845,0.6415584415584417,0.0,0.015584415584415584,0.9844155844155845,0.6363636363636364,0.015584415584415584,0.9844155844155845,0.6363636363636364,0.34285714285714286,0.6363636363636364,0.0,0.0,0.7584415584415585,0.0,1.0,0.9775477071567512,0.13749423847153028
0_0_0_10_14_16,-21.0,11,0.4961038961038961,0.5038961038961038,0.0,0.07012987012987014,0.92987012987013,0.2727272727272727,0.05714285714285714,0.942857142857143,0.18181818181818182,0.43896103896103894,0.18181818181818182,0.012987012987012998,-0.09090909090909088,0.6233766233766235,0.0,0.9597402597402597,0.9607637539352005,0.16824705066075826
0_0_0_10_14_16,-22.0,11,0.6025974025974027,0.3974025974025974,0.0,0.17922077922077922,0.8207792207792209,0.0,0.1662337662337662,0.8337662337662338,0.09090909090909091,0.4363636363636365,0.09090909090909091,0.012987012987013019,0.09090909090909091,0.4051948051948052,0.00505050505050505,0.9246071777215696,0.8341177333527628,0.21538981804635468
0_0_0_10_14_16,-23.0,11,0.7324675324675325,0.2675324675324675,0.0,0.3194805194805194,0.6805194805194805,0.0,0.3116883116883117,0.6883116883116883,0.0,0.4207792207792208,0.0,0.007792207792207739,0.0,0.25974025974025977,0.009090909090909092,0.8146423728151201,0.83757053702745,0.3105423680628769
0_0_0_10_14_16,-24.0,11,0.8337662337662338,0.16623376623376626,0.0,0.509090909090909,0.49090909090909096,0.0,0.5168831168831168,0.48311688311688317,0.0,0.316883116883117,0.0,-0.007792207792207795,0.0,0.14025974025974028,0.011363636363636364,0.7022178215834046,0.8225087809377236,0.33255845496425424
0_0_0_10_14_16,-25.0,11,0.9116883116883119,0.08831168831168833,0.0,0.6441558441558443,0.35584415584415585,0.0,0.6363636363636364,0.36363636363636365,0.0,0.2753246753246755,0.0,0.007792207792207906,0.0,0.05714285714285714,0.048484848484848485,0.5819787132394947,0.7435023929685869,0.34178734159577256
0_0_0_10_14_16,-26.0,11,0.9506493506493506,0.04935064935064937,0.0,0.7792207792207794,0.2207792207792208,0.0,0.7766233766233767,0.2233766233766234,0.0,0.17402597402597397,0.0,0.0025974025974027093,0.0,0.03896103896103897,0.0606060606060606,0.44105941963562284,0.8283967370100819,0.3027311279088687
0_0_0_10_14_32,-12.0,7,0.061224489795918366,0.9387755102040816,0.8571428571428571,0.012244897959183673,0.9877551020408164,0.8571428571428571,0.008163265306122448,0.9918367346938776,0.8571428571428571,0.053061224489795916,0.0,0.004081632653061225,0.0,0.7428571428571429,0.0,0.5714285714285714,0.9501539712888096,0.2939427034836465
0_0_0_10_14_32,-13.0,7,0.07755102040816327,0.9224489795918368,0.8571428571428571,0.024489795918367346,0.9755102040816326,0.8571428571428571,0.016326530612244896,0.9836734693877551,0.8571428571428571,0.061224489795918366,0.0,0.00816326530612245,0.0,0.7265306122448979,0.0,0.5238095238095238,0.9490921194391915,0.31017959932853617
0_0_0_10_14_32,-14.0,7,0.10204081632653061,0.8979591836734694,0.8571428571428571,0.03673469387755102,0.963265306122449,0.8571428571428571,0.03673469387755102,0.963265306122449,0.8571428571428571,0.0653061224489796,0.0,0.0,0.0,0.6897959183673469,0.0,0.5442176870748299,0.9368009526088007,0.3304805549120963
0_0_0_10_14_32,-15.0,7,0.12653061224489795,0.873469387755102,0.8571428571428571,0.05306122448979592,0.946938775510204,0.8571428571428571,0.05306122448979592,0.946938775510204,0.8571428571428571,0.07346938775510203,0.0,0.0,0.0,0.6775510204081633,0.0,0.5371428571428571,0.9362896380169028,0.34368278067430963
0_0_0_10_14_32,-16.0,7,0.1346938775510204,0.8653061224489795,0.8571428571428571,0.07755102040816327,0.9224489795918368,0.8571428571428571,0.07755102040816327,0.9224489795918368,0.8571428571428571,0.05714285714285715,0.0,0.0,0.0,0.6693877551020407,0.0,0.5142857142857143,0.9136713263321035,0.3462162683874069
0_0_0_10_14_32,-17.0,7,0.15102040816326529,0.8489795918367348,0.5714285714285714,0.09387755102040816,0.9061224489795919,0.8571428571428571,0.09795918367346938,0.9020408163265305,0.8571428571428571,0.0530612244897959,0.2857142857142857,-0.004081632653061218,0.0,0.6530612244897959,0.0,0.4957983193277311,0.9095404237872469,0.3590950152410528
0_0_0_10_14_32,-18.0,7,0.18367346938775506,0.8163265306122449,0.0,0.1142857142857143,0.8857142857142858,0.8571428571428571,0.1142857142857143,0.8857142857142858,0.8571428571428571,0.06938775510204076,0.8571428571428571,0.0,0.0,0.636734693877551,0.0,0.4938775510204082,0.8331483964514431,0.359713079287565
0_0_0_10_14_32,-19.0,7,0.2653061224489796,0.7346938775510203,0.0,0.11836734693877551,0.8816326530612244,0.8571428571428571,0.12244897959183673,0.8775510204081632,0.8571428571428571,0.14285714285714288,0.8571428571428571,-0.004081632653061218,0.0,0.6285714285714284,0.0,0.9142857142857144,0.881899866388377,0.33918743520234074
0_0_0_10_14_32,-20.0,7,0.3959183673469387,0.6040816326530614,0.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.1346938775510204,0.8653061224489795,0.8571428571428571,0.2612244897959183,0.8571428571428571,0.008163265306122436,0.1428571428571428,0.6122448979591837,0.0,0.889795918367347,0.8233726294903905,0.36561794122955293
