packet_index,event_index,symbol_index,selected_bin,signed_bin,symbol_value,phase_at_bin,phase_predicted,phase_residual_rad,phase_score,margin,confidence,amplitude,energy_ratio,argmax_bin,argmax_is_selected,rank_by_amp,gt_bin,is_correct
6,6,13,347,347,346,-1.917421,-1.130917,-0.786504,0.706324,-0.253429,0.2919,12.323395,0.006273,347,1,0,562,0
6,6,14,987,-37,986,-2.108594,-4.783948,2.675353,1.000000,0.112248,0.5223,12.812726,0.006681,987,1,0,478,0
6,6,15,832,-192,831,-2.617852,-2.299768,-0.318083,0.949837,0.391018,0.6958,15.603829,0.010599,832,1,0,267,0
6,6,16,631,-393,630,3.106808,-3.127109,-0.049269,0.998787,0.036163,0.4459,13.103504,0.006836,631,1,0,917,0
6,6,17,177,177,176,2.469731,2.597550,-0.127819,0.991842,0.239762,0.6500,14.964472,0.009011,177,1,0,656,0
6,6,18,982,-42,981,-2.533647,1.911205,1.838333,1.000000,0.279735,0.6935,14.805371,0.009175,982,1,0,889,0
6,6,19,278,278,277,2.577041,-3.092172,-0.613972,0.817366,-0.093764,0.3377,13.241339,0.007149,278,1,0,510,0
6,6,20,496,496,495,2.478470,1.939964,0.538506,0.858476,-0.042004,0.3534,12.541003,0.006689,496,1,0,860,0
6,6,21,690,-334,689,0.351258,2.379899,-2.028641,1.000000,0.099736,0.5122,13.904373,0.008300,690,1,0,553,0
6,6,22,686,-338,685,0.632646,-0.821240,1.453886,1.000000,0.233653,0.6450,13.701138,0.007545,686,1,0,629,0
6,6,23,372,372,371,-0.182416,0.534075,-0.716491,0.754115,-0.167932,0.3115,12.703435,0.006554,372,1,0,759,0
6,6,24,347,347,346,-0.242001,-0.997478,0.755477,0.727945,-0.099660,0.3028,13.710707,0.007717,347,1,0,874,0
6,6,25,828,-196,827,-1.266568,-0.301586,-0.964982,0.569431,-0.007487,0.2450,16.590027,0.011511,828,1,0,720,0
6,6,26,876,-148,875,-1.984437,-2.081630,0.097193,0.995281,0.207449,0.6173,13.535159,0.007837,876,1,0,314,0
6,6,27,937,-87,936,-1.735431,-2.702307,0.966876,0.567874,-0.384214,0.2367,12.499418,0.006359,937,1,0,602,0
6,6,28,508,508,507,2.381824,-2.453300,-1.448061,1.000000,0.012067,0.4226,13.102595,0.007014,508,1,0,7,0
6,6,29,534,-490,533,-1.522532,1.663955,3.096698,1.000000,0.183044,0.5951,13.888695,0.008020,534,1,0,610,0
6,6,30,473,473,472,-0.931562,-1.273526,0.341964,0.942098,0.084367,0.4753,14.753044,0.009388,473,1,0,791,0
6,6,31,291,291,290,-1.931574,-0.340592,-1.590983,1.000000,0.040903,0.4502,12.312800,0.006203,291,1,0,928,0
6,6,32,831,-193,830,0.538001,-1.340604,1.878605,1.000000,0.005109,0.4125,11.005609,0.004927,831,1,0,760,0
6,6,33,584,-440,583,-2.613637,1.128972,2.540576,1.000000,0.091994,0.5021,12.757064,0.006734,584,1,0,584,1
6,6,34,658,-366,657,-2.398449,-0.144062,-2.254387,1.000000,0.179769,0.5901,12.868827,0.006910,658,1,0,932,0
