trial_id,packet_id,reference_id,esn0_db,seed,estimate_available,strict_packet_delivered,decoder_aware_packet_delivered,oracle_packet_delivered,strict_gate,decoder_aware_gate,candidate_count,unique_integer_cfo_pool,sfd_peaks_examined,crc_success_count_top_max,sync_ms,list_generation_ms,list_decode_all_ms,selected_sync_cfo_reproduced,selected_sync_start_reproduced,list1_crc_accept,list1_packet_delivered,list1_crc_false_delivery,list1_selected_candidate,list1_operational_attempts,list2_crc_accept,list2_packet_delivered,list2_crc_false_delivery,list2_selected_candidate,list2_operational_attempts,list4_crc_accept,list4_packet_delivered,list4_crc_false_delivery,list4_selected_candidate,list4_operational_attempts
exp0_000006_rxg20_0_fulltrim:15:20260822,exp0_000006_rxg20_0_fulltrim,6,15.0,20260822,1,1,1,1,1,1,4,31,32,1,9376.054500000464,41.48590000113472,397.1051000007719,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000007_rxg20_0_fulltrim:15:20260822,exp0_000007_rxg20_0_fulltrim,7,15.0,20260822,1,1,1,1,1,1,4,32,32,1,10522.415400002501,43.45430000103079,555.37109999932,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000008_rxg20_0_fulltrim:15:20260822,exp0_000008_rxg20_0_fulltrim,8,15.0,20260822,1,1,1,1,1,1,4,31,32,3,8663.924500000576,43.150000001332955,716.3835000028485,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000000_rxg20_0_fulltrim:16:20260821,exp0_000000_rxg20_0_fulltrim,0,16.0,20260821,1,1,1,1,1,1,4,31,32,1,9841.276999999536,49.631900001259055,462.5476000001072,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000002_rxg20_0_fulltrim:16:20260821,exp0_000002_rxg20_0_fulltrim,2,16.0,20260821,1,0,1,1,0,1,4,31,32,2,12716.884299999947,52.14420000265818,574.8993999986851,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000003_rxg20_0_fulltrim:16:20260821,exp0_000003_rxg20_0_fulltrim,3,16.0,20260821,1,1,1,1,1,1,4,31,32,2,10918.809099999635,49.02379999839468,583.6772000002384,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000004_rxg20_0_fulltrim:16:20260821,exp0_000004_rxg20_0_fulltrim,4,16.0,20260821,1,1,1,1,1,1,4,30,32,1,8942.520600001444,43.600299999525305,794.5997999995598,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000005_rxg20_0_fulltrim:16:20260821,exp0_000005_rxg20_0_fulltrim,5,16.0,20260821,1,1,1,1,1,1,4,31,32,1,9913.318599999911,52.53829999855952,767.394599999534,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000006_rxg20_0_fulltrim:16:20260821,exp0_000006_rxg20_0_fulltrim,6,16.0,20260821,1,1,1,1,1,1,4,31,32,1,9483.872499997233,41.08460000134073,702.1358999991207,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000007_rxg20_0_fulltrim:16:20260821,exp0_000007_rxg20_0_fulltrim,7,16.0,20260821,1,1,1,1,1,1,4,31,32,2,9202.053199998772,51.047000000835396,760.8503999981622,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000008_rxg20_0_fulltrim:16:20260821,exp0_000008_rxg20_0_fulltrim,8,16.0,20260821,1,1,1,1,1,1,4,31,32,2,9855.008300000918,44.01689999940572,448.4706000002916,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000000_rxg20_0_fulltrim:16:20260822,exp0_000000_rxg20_0_fulltrim,0,16.0,20260822,1,1,1,1,1,1,4,31,32,1,9800.85240000335,46.713800002180506,418.24179999821354,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000002_rxg20_0_fulltrim:16:20260822,exp0_000002_rxg20_0_fulltrim,2,16.0,20260822,1,1,1,1,1,1,4,32,32,3,9848.433300001489,40.29460000310792,703.7358000015956,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000003_rxg20_0_fulltrim:16:20260822,exp0_000003_rxg20_0_fulltrim,3,16.0,20260822,1,1,1,1,1,1,4,32,32,1,10033.997400001681,47.5034000010055,728.4041999992041,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000004_rxg20_0_fulltrim:16:20260822,exp0_000004_rxg20_0_fulltrim,4,16.0,20260822,1,1,1,1,1,1,4,31,32,1,12441.443300001993,46.031699999730336,862.9879999971308,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000005_rxg20_0_fulltrim:16:20260822,exp0_000005_rxg20_0_fulltrim,5,16.0,20260822,1,1,1,1,1,1,4,32,32,1,9390.874899996561,42.23230000206968,570.9786000006716,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000006_rxg20_0_fulltrim:16:20260822,exp0_000006_rxg20_0_fulltrim,6,16.0,20260822,1,1,1,1,1,1,4,31,32,1,8451.405499999964,39.821399997890694,509.51790000181063,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000007_rxg20_0_fulltrim:16:20260822,exp0_000007_rxg20_0_fulltrim,7,16.0,20260822,1,1,1,1,1,1,4,31,32,1,8219.602200002555,36.31479999967269,583.5241999993741,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000008_rxg20_0_fulltrim:16:20260822,exp0_000008_rxg20_0_fulltrim,8,16.0,20260822,1,1,1,1,1,1,4,31,32,3,8237.516099998174,35.23979999954463,601.0904999966442,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
