raw_fft_bin,trial_count,groundtruth_count,savaux_lambda_mean,savaux_lambda_median,colored_ml_lambda_mean,colored_ml_lambda_median,colored_minus_savaux_lambda_mean,model_full_to_savaux_snr_gain_db_mean,gt_savaux_lambda_mean,gt_colored_ml_lambda_mean
526,392,0,1.1966645572710501,0.7706228494644165,1.1899188378690955,0.7468425333499908,-0.006745719401954616,0.06972983945161104,,
527,392,0,1.0084469943586944,0.566901832818985,1.0023802796501087,0.5680079162120819,-0.006066714708585819,0.06953316275030375,,
528,392,0,1.095144581019983,0.6507429778575897,1.0865983880239025,0.6455839276313782,-0.008546192996080356,0.06953009590506554,,
529,392,0,1.240337300258368,0.6825507879257202,1.2452760485625454,0.6851302087306976,0.00493874830417739,0.0697153601795435,,
530,392,0,1.1342780024745165,0.7487399578094482,1.141260746881759,0.7149073481559753,0.006982744407242554,0.07011424750089645,,
531,392,0,1.1226825568639693,0.698042631149292,1.1326291943070679,0.7181411981582642,0.009946637443098719,0.07077846396714449,,
532,392,0,1.1294966564970792,0.6631629168987274,1.1350598448757316,0.6157941222190857,0.005563188378652498,0.0716977920383215,,
533,392,0,1.1141609796436105,0.6947329640388489,1.1095407016537324,0.7063343524932861,-0.00462027798987817,0.07288261316716671,,
534,392,0,1.1049399955549493,0.6481508612632751,1.1034506632951184,0.6553209722042084,-0.0014893322598310283,0.07435795851051807,,
535,392,0,1.1476095920756497,0.6333882212638855,1.172510999597001,0.642034262418747,0.02490140752135111,0.07612091768532991,,
536,392,0,1.01665190377545,0.5683692097663879,1.0193046491841247,0.5855132043361664,0.0026527454086748064,0.07815884053707123,,
537,392,0,1.1447062402552621,0.6363199651241302,1.1342460133833736,0.5996491312980652,-0.01046022687188845,0.08046979270875454,,
538,392,0,1.1252321729677663,0.6942933201789856,1.1060692522881495,0.6365954577922821,-0.019162920679616724,0.08301195967942476,,
539,392,0,1.042055021918602,0.6668778955936432,1.054896521793311,0.6417014002799988,0.012841499874708943,0.08578428160399199,,
540,392,0,1.0539906989214038,0.6093673408031464,1.0524259500997482,0.6464373469352722,-0.0015647488216556519,0.08877262193709612,,
541,392,0,1.055416307106275,0.615573525428772,1.0419375182979393,0.6259126365184784,-0.013478788808335631,0.09194900933653116,,
542,392,0,1.0394217392512268,0.6592977941036224,1.0395916928709437,0.6160143911838531,0.00016995361971678402,0.09529943484812975,,
543,392,0,1.1588156144295068,0.6583333909511566,1.1443911560398896,0.6719304323196411,-0.014424458389617123,0.09878531936556101,,
544,392,0,1.0720703071078324,0.622549444437027,1.0689852860838185,0.645168274641037,-0.0030850210240139266,0.10244435723870993,,
545,392,0,1.0345583459459202,0.6033688485622406,1.0266523741749032,0.6281129121780396,-0.007905971771017031,0.1062141852453351,,
546,392,0,1.000780278509447,0.6575707793235779,1.0249961165055557,0.6841096878051758,0.024215837996108554,0.11005854327231646,,
547,392,0,1.0202180043686115,0.5639241635799408,1.0047604480047938,0.561919629573822,-0.015457556363817647,0.11398268397897482,,
548,392,0,1.0828411153990452,0.6268728375434875,1.084510507599162,0.6050509512424469,0.001669392200116762,0.11793575622141361,,
549,392,0,1.1055803725037698,0.6590746343135834,1.11570795747224,0.59816575050354,0.010127584968470228,0.12191905733197927,,
550,392,0,1.1634159178445733,0.6512188911437988,1.1534887105416582,0.6096648573875427,-0.009927207302915084,0.12589428760111332,,
551,392,0,1.0619404042259628,0.6183611154556274,1.0600874065002783,0.6226970255374908,-0.0018529977256845568,0.12983771599829197,,
552,392,0,1.14172035140471,0.6835513710975647,1.1418374768942827,0.6356137692928314,0.00011712548957246104,0.1337378490716219,,
553,392,8,2.7684779743373227,0.7608053088188171,2.825953473805329,0.7064211070537567,0.0574754994680062,0.13755257055163383,80.0313892364502,83.28524255752563
554,392,0,1.1253247987112576,0.7462752163410187,1.1161332775194825,0.7651194334030151,-0.009191521191774993,0.1412649918347597,,
555,392,0,1.1217829727197104,0.7287300527095795,1.1157352167908672,0.7012958526611328,-0.006047755928843149,0.1448473334312439,,
