dataset,target_snr_db,packet_index,frame_index,event_index,payload_len,symbol_count,traditional_fft_symbol_ser,multi_offset_argmax_symbol_ser,current_selected_symbol_ser,savaux_paper_symbol_ser,structured_path_symbol_ser,current_gain_vs_traditional_fft,savaux_gain_vs_traditional_fft,structured_gain_vs_traditional_fft,savaux_gain_vs_current,structured_gain_vs_current,structured_gain_vs_savaux,traditional_fft_crc_valid,multi_offset_argmax_crc_valid,current_selected_crc_valid,savaux_paper_crc_valid,structured_path_crc_valid,path_override_count,path_fix_count,path_break_count,mean_path_ratio,mode_best_path_name,winner_by_symbol_ser
0_0_0_10_14_16,-23.0,8,5,8,33,35,0.8571428571428571,0.45714285714285713,0.2,0.08571428571428572,0.08571428571428572,0.657142857142857,0.7714285714285714,0.7714285714285714,0.1142857142857143,0.1142857142857143,0.0,0,0,0,0,0,0,0,0,2.560208434245921,linear_a1_b3,savaux_paper
0_0_0_10_14_16,-23.0,9,6,9,33,35,0.9142857142857143,0.4,0.14285714285714285,0.05714285714285714,0.05714285714285714,0.7714285714285714,0.8571428571428571,0.8571428571428571,0.08571428571428572,0.08571428571428572,0.0,0,0,0,0,0,0,0,0,2.4333510108210286,piece1of2_23,savaux_paper
0_0_0_10_14_16,-23.0,10,7,10,33,35,0.8285714285714286,0.4,0.11428571428571428,0.02857142857142857,0.02857142857142857,0.7142857142857143,0.8,0.8,0.08571428571428572,0.08571428571428572,0.0,0,0,0,0,0,0,0,0,2.464314349294792,piece1of2_21,savaux_paper
0_0_0_10_14_16,-23.0,11,8,11,33,35,0.7428571428571429,0.14285714285714285,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2.490578905766435,piece1of2_30,current_selected
0_0_0_10_14_16,-23.0,12,9,12,33,35,0.5714285714285714,0.05714285714285714,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0,0,1,1,1,0,0,0,2.2669906265795206,linear_a3_b3,current_selected
0_0_0_10_14_16,-23.0,13,10,13,33,35,0.7142857142857143,0.14285714285714285,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0,0,1,1,1,0,0,0,2.5016065372499314,linear_a2_b2,current_selected
0_0_0_10_14_16,-24.0,1,0,1,33,35,0.9142857142857143,0.6,0.4,0.3142857142857143,0.3142857142857143,0.5142857142857142,0.6,0.6,0.08571428571428574,0.08571428571428574,0.0,0,0,0,0,0,0,0,0,2.684204767252668,piece1of2_03,savaux_paper
0_0_0_10_14_16,-24.0,2,1,2,33,35,0.8857142857142857,0.6857142857142857,0.42857142857142855,0.22857142857142856,0.22857142857142856,0.45714285714285713,0.6571428571428571,0.6571428571428571,0.19999999999999998,0.19999999999999998,0.0,0,0,0,0,0,0,0,0,2.7968876236564535,piece1of2_01,savaux_paper
0_0_0_10_14_16,-24.0,3,2,3,33,35,0.9428571428571428,0.6,0.37142857142857144,0.11428571428571428,0.14285714285714285,0.5714285714285714,0.8285714285714285,0.8,0.2571428571428572,0.2285714285714286,-0.028571428571428567,0,0,0,0,0,1,0,1,2.629777882491174,piece1of4_12,savaux_paper
0_0_0_10_14_16,-24.0,5,3,5,33,35,0.9428571428571428,0.45714285714285713,0.2857142857142857,0.11428571428571428,0.11428571428571428,0.6571428571428571,0.8285714285714285,0.8285714285714285,0.17142857142857143,0.17142857142857143,0.0,0,0,0,0,0,0,0,0,2.5593088711615275,linear_a3_b0,savaux_paper
0_0_0_10_14_16,-24.0,6,4,6,33,35,0.9142857142857143,0.45714285714285713,0.2857142857142857,0.05714285714285714,0.05714285714285714,0.6285714285714286,0.8571428571428571,0.8571428571428571,0.22857142857142856,0.22857142857142856,0.0,0,0,0,0,0,0,0,0,2.4517255884489306,linear_a3_b1,savaux_paper
0_0_0_10_14_16,-24.0,8,5,8,33,35,0.8857142857142857,0.6571428571428571,0.42857142857142855,0.17142857142857143,0.14285714285714285,0.45714285714285713,0.7142857142857142,0.7428571428571429,0.2571428571428571,0.2857142857142857,0.02857142857142858,0,0,0,0,0,1,1,0,2.659107592278981,linear_a1_b3,structured_path
0_0_0_10_14_16,-24.0,9,6,9,33,35,0.9714285714285714,0.5714285714285714,0.22857142857142856,0.14285714285714285,0.14285714285714285,0.7428571428571429,0.8285714285714285,0.8285714285714285,0.08571428571428572,0.08571428571428572,0.0,0,0,0,0,0,0,0,0,2.5796960949286896,piece1of2_23,savaux_paper
0_0_0_10_14_16,-24.0,10,7,10,33,35,0.8857142857142857,0.5714285714285714,0.37142857142857144,0.08571428571428572,0.08571428571428572,0.5142857142857142,0.7999999999999999,0.7999999999999999,0.2857142857142857,0.2857142857142857,0.0,0,0,0,0,0,0,0,0,2.6668395542339005,period2_10,savaux_paper
