payload_symbol_index,gt_raw_fft_bin,savaux_argmax_bin,fused_argmax_bin,savaux_gt_rank,fused_gt_rank,rank_delta,savaux_gt_topk,fused_gt_topk,savaux_correct,fused_correct,gt_in_structured_topk,gt_path_ratio,gt_path_name,evidence_mode,dataset,target_snr_db,packet_index,packet_timing_tau0,packet_timing_slope
7,713,713,713,1,1,0,1,1,1,1,1,0.03120469178841404,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
8,865,865,865,1,1,0,1,1,1,1,1,0.14622697294890544,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
9,405,405,405,1,1,0,1,1,1,1,1,0.09229149129312156,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
10,765,765,765,1,1,0,1,1,1,1,1,0.05933548307763282,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
11,1023,1023,1023,1,1,0,1,1,1,1,1,0.03562805327019913,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
12,597,597,597,1,1,0,1,1,1,1,1,0.13188378952514584,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
13,562,562,562,1,1,0,1,1,1,1,1,0.1144903690837252,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
14,478,478,478,1,1,0,1,1,1,1,1,0.11151790186896762,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
15,267,267,267,1,1,0,1,1,1,1,1,0.09566900407567999,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
16,917,917,917,1,1,0,1,1,1,1,1,0.04040891268418414,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
17,656,656,656,1,1,0,1,1,1,1,1,0.03870818414993089,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
18,889,889,889,1,1,0,1,1,1,1,1,0.01629613965145865,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
19,510,510,510,1,1,0,1,1,1,1,1,0.051109617369311605,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
20,860,860,860,1,1,0,1,1,1,1,1,0.051932957430495974,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
21,553,553,553,1,1,0,1,1,1,1,1,0.04458092536516466,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
22,629,629,629,1,1,0,1,1,1,1,1,0.06480082557500633,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
23,759,759,759,1,1,0,1,1,1,1,1,0.09752296421244465,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
24,874,874,874,1,1,0,1,1,1,1,1,0.03370950529170817,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
25,720,720,720,1,1,0,1,1,1,1,1,0.07141347996699338,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
26,314,314,314,1,1,0,1,1,1,1,1,0.14220729559815673,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
27,602,602,602,1,1,0,1,1,1,1,1,0.03605000996070884,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
28,7,7,7,1,1,0,1,1,1,1,1,0.04918729031400763,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
29,610,610,610,1,1,0,1,1,1,1,1,0.026438613595892783,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
30,874,874,874,1,1,0,1,1,1,1,1,0.17027197357667792,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
31,913,913,913,1,1,0,1,1,1,1,1,0.09349778181224071,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
32,757,757,757,1,1,0,1,1,1,1,1,0.22520290057785972,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
33,587,587,587,1,1,0,1,1,1,1,1,0.0971039173062076,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
