dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_raw_bin,savaux_top1_raw_bin,phase_line_raw_bin,gt_symbol,savaux_top1_symbol,phase_line_symbol,gt_in_stage1_top40_raw,gt_in_actual_viterbi_candidates_raw,stage1_topk_size,actual_viterbi_candidate_count,effective_top_l,hard_anchor,high_confidence,pre_hard_anchor_count,hard_anchor_rmse_pi,category,gt_local_score,selected_local_score,local_score_delta_gt_minus_selected,lock_active
0_0_0_10_14_16,-26.0,42,1,32,749,749,804,748,748,803,1,1,40,16,16,0,0,2,3.6039356410736343e-16,C_savaux_ok_phase_break,0.9201452789353076,0.9143453956487347,0.005799883286572882,0
0_0_0_10_14_16,-26.0,42,1,33,584,808,808,583,807,807,1,1,40,16,16,0,0,2,3.6039356410736343e-16,E1_gt_in_candidates_local_score_loss,0.8102458574311789,1.0260500601508626,-0.2158042027196837,0
0_0_0_10_14_16,-26.0,42,1,34,934,473,52,933,472,51,1,1,40,16,16,0,0,2,3.6039356410736343e-16,E1_gt_in_candidates_local_score_loss,0.759527004355794,0.9296568885990764,-0.17012988424328235,0
0_0_0_10_14_16,-26.0,42,2,0,803,830,830,802,829,829,1,1,40,16,16,0,0,2,4.9977595182166055e-17,E1_gt_in_candidates_local_score_loss,0.8488335519614277,0.9510983566532636,-0.10226480469183585,0
0_0_0_10_14_16,-26.0,42,2,1,826,826,826,825,825,825,1,1,40,4,16,0,1,2,4.9977595182166055e-17,A_savaux_ok_phase_ok,1.006748205286992,1.006748205286992,0.0,1
0_0_0_10_14_16,-26.0,42,2,2,922,358,358,921,357,357,1,1,40,16,16,0,0,2,4.9977595182166055e-17,E1_gt_in_candidates_local_score_loss,0.8169202978669283,1.0004230546909536,-0.18350275682402528,0
0_0_0_10_14_16,-26.0,42,2,3,718,718,718,717,717,717,1,1,40,16,16,0,0,2,4.9977595182166055e-17,A_savaux_ok_phase_ok,1.0407800017564803,1.0407800017564803,0.0,0
0_0_0_10_14_16,-26.0,42,2,4,86,86,86,85,85,85,1,1,40,4,16,0,1,2,4.9977595182166055e-17,A_savaux_ok_phase_ok,1.0371235786311193,1.0371235786311193,0.0,1
0_0_0_10_14_16,-26.0,42,2,5,468,544,468,467,543,467,1,1,40,16,16,0,0,2,4.9977595182166055e-17,B_savaux_wrong_phase_rescue,1.0094422288902212,1.0094422288902212,0.0,0
0_0_0_10_14_16,-26.0,42,2,6,89,89,89,88,88,88,1,1,40,4,16,0,1,2,4.9977595182166055e-17,A_savaux_ok_phase_ok,1.011095200641336,1.011095200641336,0.0,1
0_0_0_10_14_16,-26.0,42,2,7,713,713,713,712,712,712,1,1,40,16,16,0,0,2,4.9977595182166055e-17,A_savaux_ok_phase_ok,1.0384056992220365,1.0384056992220365,0.0,0
0_0_0_10_14_16,-26.0,42,2,8,865,247,247,864,246,246,1,1,40,4,16,0,1,2,4.9977595182166055e-17,E1_gt_in_candidates_local_score_loss,0.7613838339931784,1.0093303762811017,-0.24794654228792323,1
0_0_0_10_14_16,-26.0,42,2,9,492,884,430,491,883,429,1,1,40,16,16,0,0,2,4.9977595182166055e-17,E1_gt_in_candidates_local_score_loss,0.8741259483338208,0.9067046781581467,-0.03257872982432586,0
0_0_0_10_14_16,-26.0,42,2,10,765,765,765,764,764,764,1,1,40,16,16,0,0,2,4.9977595182166055e-17,A_savaux_ok_phase_ok,1.0401275552707305,1.0401275552707305,0.0,0
0_0_0_10_14_16,-26.0,42,2,11,1023,1023,1023,1022,1022,1022,1,1,40,4,16,0,1,2,4.9977595182166055e-17,A_savaux_ok_phase_ok,0.8944179473053983,0.8944179473053983,0.0,1
0_0_0_10_14_16,-26.0,42,2,12,597,151,151,596,150,150,0,0,40,4,16,0,1,2,4.9977595182166055e-17,D_stage1_top40_miss,,0.895266434739639,,1
0_0_0_10_14_16,-26.0,42,2,13,562,825,825,561,824,824,0,0,40,16,16,0,0,2,4.9977595182166055e-17,D_stage1_top40_miss,,0.9052635662735317,,0
0_0_0_10_14_16,-26.0,42,2,14,478,478,478,477,477,477,1,1,40,4,16,1,1,2,4.9977595182166055e-17,A_savaux_ok_phase_ok,0.8944007718856886,0.8944007718856886,0.0,1
0_0_0_10_14_16,-26.0,42,2,15,267,986,986,266,985,985,1,1,40,16,16,0,0,2,4.9977595182166055e-17,E1_gt_in_candidates_local_score_loss,0.8974726540890687,0.9206288061591489,-0.02315615207008015,0
0_0_0_10_14_16,-26.0,42,2,16,917,917,917,916,916,916,1,1,40,4,16,0,1,2,4.9977595182166055e-17,A_savaux_ok_phase_ok,1.024530869222697,1.024530869222697,0.0,1
