packet_index,event_index,symbol_index,selected_bin,signed_bin,symbol_value,phase_at_bin,phase_predicted,phase_residual_rad,phase_score,margin,confidence,amplitude,energy_ratio,argmax_bin,argmax_is_selected,rank_by_amp,gt_bin,is_correct
3,3,2,65,65,64,0.108749,-2.852075,2.960824,1.000000,0.057185,0.4659,9.563990,0.005795,65,1,0,871,0
3,3,3,395,395,394,-1.697127,1.560136,3.025923,1.000000,0.040290,0.4499,9.945517,0.006420,395,1,0,718,0
3,3,4,834,-190,833,1.236283,-1.640740,2.877023,1.000000,0.250667,0.6618,10.692163,0.007450,834,1,0,107,0
3,3,5,877,-147,876,-2.842556,4.169693,-0.729065,0.745798,-0.175302,0.3078,10.266832,0.006328,877,1,0,468,0
3,3,6,89,89,88,0.535769,-0.638211,1.173980,0.386484,-0.451377,0.1656,10.533428,0.007346,89,1,0,89,1
3,3,7,407,407,406,-3.118186,2.740114,0.424885,0.911086,-0.063021,0.3751,10.576292,0.007143,407,1,0,713,0
3,3,8,769,-255,768,-2.150049,-0.913840,-1.236209,0.328380,-0.624486,0.1410,9.766191,0.006451,769,1,0,865,0
3,3,9,927,-97,926,-1.571849,-1.181912,-0.389937,0.924933,0.053010,0.4326,10.027637,0.006425,927,1,0,492,0
3,3,10,765,-259,764,0.198788,-0.603712,0.802500,0.694911,-0.195472,0.2873,9.859188,0.006250,765,1,0,765,1
3,3,11,796,-228,795,2.569204,1.166925,1.402279,1.000000,0.214806,0.6272,11.174841,0.008274,796,1,0,1023,0
3,3,12,815,-209,814,-1.431894,4.339841,0.511451,0.872035,0.020523,0.3817,11.153607,0.008269,815,1,0,597,0
3,3,13,264,264,263,-2.990729,0.850194,2.442262,1.000000,0.105565,0.5169,10.826638,0.007554,264,1,0,562,0
3,3,14,478,478,477,-1.007003,-0.708641,-0.298362,0.955819,-0.024811,0.3918,9.635536,0.006291,478,1,0,478,1
3,3,15,566,-458,565,-3.137322,0.976723,2.169140,1.000000,0.006575,0.4177,10.566780,0.007427,566,1,0,267,0
3,3,16,917,-107,916,-1.642952,-4.696157,3.053205,1.000000,0.098262,0.5102,11.258275,0.007970,917,1,0,917,1
3,3,17,656,-368,655,-2.189277,-0.148582,-2.040695,1.000000,0.253556,0.6656,10.923746,0.008019,656,1,0,656,1
3,3,18,889,-135,888,-3.115817,-2.735602,-0.380215,0.928585,0.024739,0.4087,11.345092,0.008368,889,1,0,889,1
3,3,19,510,510,509,-2.997654,-3.662142,0.664487,0.787233,0.148065,0.4795,13.029669,0.010998,510,1,0,510,1
3,3,20,860,-164,859,2.977656,-3.543979,0.238450,0.971705,0.035202,0.4334,9.691116,0.006356,860,1,0,860,1
3,3,21,212,212,211,0.787766,2.669780,-1.882014,1.000000,0.190816,0.6014,9.947411,0.007033,212,1,0,553,0
3,3,22,823,-201,822,-0.434874,0.479891,-0.914765,0.609977,-0.336890,0.2530,10.020093,0.005992,823,1,0,629,0
3,3,23,80,80,79,-1.380602,-1.657515,0.276913,0.961904,-0.011135,0.3954,10.626928,0.007077,80,1,0,759,0
3,3,24,324,324,323,-1.396890,-2.603243,1.206353,0.356429,-0.445821,0.1548,11.193045,0.008177,324,1,0,874,0
3,3,25,524,-500,523,2.286836,-2.342618,-1.653732,1.000000,0.175970,0.5857,10.028555,0.006476,524,1,0,720,0
3,3,26,541,-483,540,-0.931370,1.341108,-2.272478,1.000000,0.082507,0.4925,10.024927,0.006654,541,1,0,314,0
3,3,27,911,-113,910,1.560856,-0.947657,2.508513,1.000000,0.014746,0.4267,11.071784,0.008000,911,1,0,602,0
3,3,28,7,7,6,-0.806849,4.053081,1.423255,1.000000,0.086864,0.4987,11.222926,0.007891,7,1,0,7,1
3,3,29,610,-414,609,-0.840795,1.685376,-2.526172,1.000000,0.248657,0.6602,10.976039,0.007723,610,1,0,610,1
3,3,30,454,454,453,-0.034735,-0.874742,0.840007,0.667458,-0.166849,0.2790,11.346998,0.008038,454,1,0,778,0
3,3,31,431,431,430,-1.314567,-0.068681,-1.245886,0.319224,-0.490884,0.1424,12.321677,0.009831,431,1,0,897,0
3,3,32,343,343,342,-2.821197,-1.348513,-1.472685,1.000000,0.167703,0.5784,10.340665,0.007114,343,1,0,740,0
3,3,33,590,-434,589,-2.468246,-4.101029,1.632783,1.000000,0.015065,0.4242,9.706767,0.006072,590,1,0,590,1
3,3,34,930,-94,929,2.735608,-3.748077,0.200500,0.979967,0.128376,0.5334,11.509517,0.008718,930,1,0,930,1
