dataset,snr_db,seed,packet_index,payload_symbol_index,scope,dimension,snapshots,diagonal_loading,diagonal_cv,mean_abs_correlation,max_abs_correlation,condition_number
0_0_0_10_14_32,-26.0,42,4,17,symbol_null,4,1000,0.05,0.024319306751626624,0.02739270259622463,0.05092155504008242,1.1741336174883898
0_0_0_10_14_32,-26.0,42,4,18,symbol_null,4,1000,0.05,0.007133337023633119,0.02531604755065087,0.04665663785319922,1.1345089695488526
0_0_0_10_14_32,-26.0,42,4,19,symbol_null,4,1000,0.05,0.025958823342072602,0.026794475662630185,0.048315961250976334,1.1732836479757678
0_0_0_10_14_32,-26.0,42,4,20,symbol_null,4,1000,0.05,0.030288828057119487,0.029113243125852135,0.04735348358446907,1.183938591057812
0_0_0_10_14_32,-26.0,42,4,21,symbol_null,4,1000,0.05,0.020498638584581945,0.026348717406031067,0.04086866622000742,1.1551955952959936
0_0_0_10_14_32,-26.0,42,4,22,symbol_null,4,1002,0.05,0.026435105533530318,0.036195368925159045,0.04424514307709508,1.205869223475549
0_0_0_10_14_32,-26.0,42,4,23,symbol_null,4,1000,0.05,0.028414337571899605,0.033950799684174644,0.065335816635445,1.2146373433859883
0_0_0_10_14_32,-26.0,42,4,24,symbol_null,4,1000,0.05,0.03428015059839722,0.0250571003828583,0.033338483334889264,1.1663910945210991
0_0_0_10_14_32,-26.0,42,4,25,symbol_null,4,1000,0.05,0.03328347694474373,0.03914493004339713,0.06256717347325641,1.2480419808767311
0_0_0_10_14_32,-26.0,42,4,26,symbol_null,4,1000,0.05,0.03272457864895824,0.0272873372308688,0.035069119278203276,1.1739246790877136
0_0_0_10_14_32,-26.0,42,4,27,symbol_null,4,1000,0.05,0.03149724779405913,0.030049333665301294,0.04107269479009581,1.1725245783782041
0_0_0_10_14_32,-26.0,42,4,28,symbol_null,4,1001,0.05,0.05539510385862817,0.024231124322289094,0.046350807676643124,1.2194125590647695
0_0_0_10_14_32,-26.0,42,4,29,symbol_null,4,1000,0.05,0.02565412643676628,0.02911169398215237,0.04341035910712179,1.1748437750926475
0_0_0_10_14_32,-26.0,42,4,30,symbol_null,4,1000,0.05,0.016238459899517665,0.02522966513818818,0.04930571378515874,1.16106457058326
0_0_0_10_14_32,-26.0,42,4,31,symbol_null,4,1000,0.05,0.010789983109687812,0.02616661118297658,0.07187539683046375,1.1714565886368644
0_0_0_10_14_32,-26.0,42,4,32,symbol_null,4,1000,0.05,0.04950368466993883,0.030032508088708942,0.06806027529878339,1.2219495983435786
0_0_0_10_14_32,-26.0,42,4,33,symbol_null,4,1000,0.05,0.010194862128294378,0.022616388877855786,0.03784425504819111,1.1220126868614069
0_0_0_10_14_32,-26.0,42,4,34,symbol_null,4,1000,0.05,0.00959372412148818,0.02758516324528811,0.034096346624599407,1.1423742480333021
0_0_0_10_14_32,-26.0,42,5,,packet_null,4,35005,0.05,0.005504095403540454,0.009012817987965842,0.01262795081696272,1.0479338448245268
0_0_0_10_14_32,-26.0,42,5,0,symbol_null,4,1000,0.05,0.011114269832479434,0.023985560822547172,0.05032479206339812,1.1532755014940774
0_0_0_10_14_32,-26.0,42,5,1,symbol_null,4,1000,0.05,0.02579271089043464,0.04058307314050917,0.06237408219073445,1.2330174037955193
0_0_0_10_14_32,-26.0,42,5,2,symbol_null,4,1000,0.05,0.014883503841884395,0.019966955391388323,0.03503176540528968,1.1233293846978822
0_0_0_10_14_32,-26.0,42,5,3,symbol_null,4,1001,0.05,0.02314646628164579,0.019451966651998786,0.03133227423919623,1.1244471696037597
0_0_0_10_14_32,-26.0,42,5,4,symbol_null,4,1000,0.05,0.03428239072153585,0.02434570756069926,0.03461310996600034,1.1615952668097853
0_0_0_10_14_32,-26.0,42,5,5,symbol_null,4,1000,0.05,0.02748567755654554,0.02506351482922373,0.05180821689098443,1.1641755137572394
0_0_0_10_14_32,-26.0,42,5,6,symbol_null,4,1000,0.05,0.02497779969877846,0.025129652556754912,0.0357879979090054,1.1517886501222863
0_0_0_10_14_32,-26.0,42,5,7,symbol_null,4,1000,0.05,0.021827834703698135,0.028620640394882227,0.06528634572172108,1.1873066200990965
0_0_0_10_14_32,-26.0,42,5,8,symbol_null,4,1000,0.05,0.008071566308662688,0.02673835404978255,0.048871191189491785,1.153998633842989
