packet_index,event_index,candidate_index,selected,candidate_values,candidate_payload_hex,score,signal_score,prior_score,score_mode,effective_kappa,kappa_source,kappa_source_line_rmse_pi,known_symbols,mean_phase_score,mean_amp_score,mean_profile_score,line_rmse_pi,line_r2,map_phase_ll,map_line_ll,map_amp_ll,map_profile_ll
1,1,129,0,6:81,404433221100810058303132333435363738393a3b3c3d3e3f4041424378563412,-0.161726175,-0.161726175,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.698617381,0.239999727,0.000000000,0.157952170,0.892171428,1.588939049,-0.138604934,-2.448292349,0.000000000
1,1,5,0,6:05,404433221100050058303132333435363738393a3b3c3d3e3f4041424378563412,-0.169658464,-0.169658464,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.626772020,0.308303107,0.000000000,0.056885428,0.239481916,1.014176162,-0.017977510,-2.071068747,0.000000000
1,1,107,0,6:6b,4044332211006b0058303132333435363738393a3b3c3d3e3f4041424378563412,-0.170032746,-0.170032746,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.603520979,0.286855478,0.000000000,0.054345634,0.909743107,0.828167834,-0.016408044,-1.844353412,0.000000000
1,1,90,0,6:5a,4044332211005a0058303132333435363738393a3b3c3d3e3f4041424378563412,-0.180092307,-0.180092307,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.602984120,0.339439127,0.000000000,0.112998513,0.585532740,0.823872956,-0.070937022,-1.752960174,0.000000000
1,1,110,0,6:6e,4044332211006e0058303132333435363738393a3b3c3d3e3f4041424378563412,-0.189178684,-0.189178684,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.607882296,0.380571726,0.000000000,0.176864841,0.913929214,0.863058369,-0.173784288,-1.590255660,0.000000000
1,1,203,0,6:cb,404433221100cb0058303132333435363738393a3b3c3d3e3f4041424378563412,-0.191084746,-0.191084746,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.642866074,0.188160720,0.000000000,0.085841435,0.894820692,1.142928590,-0.040937511,-2.281740693,0.000000000
1,1,78,0,6:4e,4044332211004e0058303132333435363738393a3b3c3d3e3f4041424378563412,-0.191243438,-0.191243438,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.643784081,0.367786617,0.000000000,0.204467012,0.913572562,1.150272649,-0.232259772,-1.813408568,0.000000000
1,1,54,0,6:36,404433221100360058303132333435363738393a3b3c3d3e3f4041424378563412,-0.194276522,-0.194276522,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.579571918,0.426474582,0.000000000,0.125385560,0.581000664,0.636575346,-0.087341882,-1.548747089,0.000000000
1,1,67,0,6:43,404433221100430058303132333435363738393a3b3c3d3e3f4041424378563412,-0.201735073,-0.201735073,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.635378449,0.303501167,0.000000000,0.110672052,0.830120281,1.083027591,-0.068046129,-2.192344533,0.000000000
1,1,150,0,6:96,404433221100960058303132333435363738393a3b3c3d3e3f4041424378563412,-0.202411042,-0.202411042,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.618917013,0.327779825,0.000000000,0.124444966,0.526561203,0.951336102,-0.086036386,-1.986134370,0.000000000
