dataset,snr_db,seed,packet_index,payload_symbol_index,gt_bin,raw_fft_bin,is_gt,is_savaux,savaux_ok,candidate_rank,gt_savaux_rank,savaux_margin_db,distance_to_gt,distance_to_savaux,savaux_power,log_savaux_power,best_pattern_power,mean_pattern_power,coherent_pattern_power,whitened_pattern_power,stable_pattern_power,hybrid_mean_power,pattern_consistency,mean_gain_vs_savaux,coherent_gain_vs_savaux,whitened_gain_vs_savaux,stable_gain_vs_savaux,hybrid_gain_vs_savaux
0_0_0_10_14_16,-25.0,42,1,1,826,806,0,0,1,7,1,2.6213344724044236,20,20,0.4500750423409592,-0.7983409493631141,0.08588483530337751,0.04432206288103799,0.02911434498081843,0.08532266575470991,0.2956459875331568,0.07911998694278848,0.65688154134347,0.0984770509613402,0.0646877570224446,0.18957431034372443,0.65688154134347,0.1757928778526899
0_0_0_10_14_16,-25.0,42,1,1,826,606,0,0,1,8,1,2.6213344724044236,220,220,0.42903308309547583,-0.8462212462547946,0.1251727695790123,0.04811578537396678,0.031087122471081557,0.09145259853254205,0.2771939373881865,0.08314542926098557,0.6460898898244183,0.11214935926808056,0.07245856717339329,0.21315978216111237,0.6460898898244183,0.19379724440150603
0_0_0_10_14_16,-25.0,42,1,2,922,922,1,1,1,1,1,3.1796925576213475,0,0,1.1281195759821117,0.1205521545338542,0.11557336921727422,0.0762452153132909,0.06427894253265234,0.1898074781822549,0.9510673305407237,0.14953685078865195,0.8430554267376746,0.06758611138089134,0.05697883797175735,0.16825120512336952,0.8430554267376746,0.132554078461469
0_0_0_10_14_16,-25.0,42,1,2,922,760,0,0,1,2,1,3.1796925576213475,162,162,0.542482683542417,-0.6115991138144482,0.09168760863503213,0.044875179365144714,0.03791737850064181,0.11121177027560102,0.45837190030037855,0.08367603983911877,0.8449521324942683,0.0827218650964292,0.06989601631713102,0.2050051985980218,0.8449521324942683,0.15424647159742214
0_0_0_10_14_16,-25.0,42,1,2,922,409,0,0,1,3,1,3.1796925576213475,511,511,0.510877093898646,-0.6716262384544759,0.13533643996932604,0.05628793492583836,0.037788501074618154,0.11139190910776754,0.3429736698854252,0.09769910706802343,0.6713428219458759,0.1101790148708555,0.07396789076261677,0.2180405237152144,0.6713428219458759,0.19123798705174705
0_0_0_10_14_16,-25.0,42,1,2,922,514,0,0,1,4,1,3.1796925576213475,408,408,0.5067497527801414,-0.6797379815038389,0.06730869740124043,0.033276749876733125,0.014328126978615137,0.04293821729806651,0.2181936286179312,0.0657361194531494,0.43057471152353327,0.06566702735259268,0.02827456135895056,0.0847325865725596,0.43057471152353327,0.12972106861918822
0_0_0_10_14_16,-25.0,42,1,2,922,399,0,0,1,5,1,3.1796925576213475,501,501,0.5007310762799797,-0.6916860959042077,0.17401412047306136,0.048083439652329044,0.023557054837811002,0.06741466050004791,0.24531833637971132,0.08637693348931508,0.48992033448817457,0.0960264739499483,0.04704532223727865,0.13463246779265914,0.48992033448817457,0.1725016432593413
0_0_0_10_14_16,-25.0,42,1,2,922,386,0,0,1,6,1,3.1796925576213475,488,488,0.471373193167679,-0.7521051565211633,0.07442068620100968,0.03858562792676628,0.028746688267532797,0.0843412670078406,0.3511778599892387,0.07213738572012648,0.7450102489479417,0.08185791743367218,0.06098498744562018,0.1789267362470448,0.7450102489479417,0.15303667405300547
0_0_0_10_14_16,-25.0,42,1,2,922,617,0,0,1,7,1,3.1796925576213475,305,305,0.43779752564945795,-0.8259987456922194,0.06026557067443043,0.030323100426549163,0.0211045449368771,0.06087959387018506,0.3047022706567631,0.059108308163319495,0.6959890195924416,0.0692628410395099,0.048206176829275624,0.139058789288204,0.6959890195924416,0.13501288769422418
0_0_0_10_14_16,-25.0,42,1,2,922,739,0,0,1,8,1,3.1796925576213475,183,183,0.4343487719690984,-0.8339074455644259,0.08203285979416712,0.03561878311392515,0.02363988952359902,0.06979903426155842,0.28827366031059426,0.06656086512252508,0.6636916665004486,0.0820050277855033,0.05442605355237627,0.16069812732548547,0.6636916665004486,0.15324289929674428
