packet_index,frame_index,event_index,payload_symbol_index,start_sample,paper_start_sample,paper_origin_shift,sf,os_factor,cfo_correction_mode,gt_raw_fft_bin,gt_signed_fft_bin,gt_symbol_value,center_raw_fft_bin,center_signed_fft_bin,center_symbol_value,paper_raw_fft_bin,paper_signed_fft_bin,paper_symbol_value,center_raw_hit,paper_raw_hit,center_symbol_hit,paper_symbol_hit,center_gt_rank,paper_gt_rank,center_peak_power,paper_peak_power,paper_peak_margin_db,paper_total_power
3,2,3,0,7813489,7813491,2,11,4,continuous,441,441,110,441,441,110,441,441,110,1,1,1,1,1,1,20098.00294341985,155.88779007521316,18.72825540918797,164.22850309212777
3,2,3,1,7821681,7821683,2,11,4,continuous,1421,-627,355,1421,-627,355,1421,-627,355,1,1,1,1,1,1,17959.312530689873,139.42844941583553,21.341994597987988,146.0383388097082
3,2,3,2,7829873,7829875,2,11,4,continuous,1229,-819,307,1229,-819,307,1229,-819,307,1,1,1,1,1,1,15699.16158232931,121.93129904728357,20.705503752536032,127.52490521091268
3,2,3,3,7838065,7838067,2,11,4,continuous,1381,-667,345,1381,-667,345,1381,-667,345,1,1,1,1,1,1,14538.438439149468,113.03788215760142,21.10981683592238,118.77818016323144
3,2,3,4,7846257,7846259,2,11,4,continuous,2005,-43,501,2005,-43,501,2005,-43,501,1,1,1,1,1,1,13527.504408989102,105.24105069915913,14.428609170263316,116.6374856059454
3,2,3,5,7854449,7854451,2,11,4,continuous,1857,-191,464,1857,-191,464,1857,-191,464,1,1,1,1,1,1,13734.819955461659,106.83335857813745,14.911416817546769,116.75044323244069
3,2,3,6,7862641,7862643,2,11,4,continuous,1693,-355,423,1693,-355,423,1693,-355,423,1,1,1,1,1,1,13970.425871845859,108.55646830830756,16.092467524948876,116.68712101367201
3,2,3,7,7870833,7870835,2,11,4,continuous,1245,-803,311,1245,-803,311,1245,-803,311,1,1,1,1,1,1,14311.927681444737,111.36422837438295,20.959996238372412,117.32905376184053
3,2,3,8,7879025,7879027,2,11,4,continuous,1661,-387,415,1661,-387,415,1661,-387,415,1,1,1,1,1,1,13963.602123876626,108.3213223158964,15.932108744448977,116.86356816994872
3,2,3,9,7887217,7887219,2,11,4,continuous,685,685,171,685,685,171,685,685,171,1,1,1,1,1,1,13646.340142010013,105.89041908002491,19.5265098841995,112.41842316221454
