dataset,snr_db,seed,packet_index,payload_symbol_index,gt_bin,raw_fft_bin,is_gt,is_savaux,savaux_ok,candidate_rank,gt_savaux_rank,savaux_margin_db,distance_to_gt,distance_to_savaux,savaux_power,log_savaux_power,best_pattern_power,mean_pattern_power,coherent_pattern_power,whitened_pattern_power,stable_pattern_power,hybrid_mean_power,pattern_consistency,mean_gain_vs_savaux,coherent_gain_vs_savaux,whitened_gain_vs_savaux,stable_gain_vs_savaux,hybrid_gain_vs_savaux
0_0_0_10_14_8,-24.0,1,0,2,922,431,0,0,1,5,1,5.653455069994192,491,491,0.6857064150289638,-0.3773057092901029,0.15625156488527636,0.060146594070921676,0.043791383814246,0.1572862042498232,0.499247434842554,0.11052049789784309,0.7280775327462353,0.08771478981771101,0.06386316775583364,0.2293783473546467,0.7280775327462353,0.161177576110579
0_0_0_10_14_8,-24.0,1,0,2,922,35,0,0,1,6,1,5.653455069994192,137,137,0.6582464401231505,-0.4181758887127834,0.19125141556575523,0.06437353101371901,0.042159921704879255,0.15988738434458796,0.43110293844520053,0.11511386307351237,0.654926350022563,0.09779548675063925,0.06404884118627609,0.24289897308776154,0.654926350022563,0.17487958317249064
0_0_0_10_14_8,-24.0,1,0,2,922,598,0,0,1,7,1,5.653455069994192,324,324,0.6559378904354531,-0.421689173734656,0.1656361987848949,0.06623251773715372,0.04753395015490097,0.1787483975424823,0.47075545447941514,0.11749493031928791,0.7176829717321221,0.1009737639842461,0.07246715100319166,0.2725081141810817,0.7176829717321221,0.17912508490901072
0_0_0_10_14_8,-24.0,1,0,2,922,450,0,0,1,8,1,5.653455069994192,472,472,0.6061300310550486,-0.5006607432321515,0.2514204458962702,0.06852800405453707,0.039253094767799215,0.13947902934041362,0.34719352881893345,0.11817959913994978,0.5728037071758311,0.1130582557265066,0.06476018800697611,0.23011403856303264,0.5728037071758311,0.19497400406682167
0_0_0_10_14_8,-24.0,1,0,2,922,675,0,0,1,9,1,5.653455069994192,247,247,0.6015856193844229,-0.508186410580976,0.21373972354430867,0.08396471448782483,0.0543303359497661,0.20166998125817823,0.38926290648488016,0.13737160524522318,0.6470615219878367,0.1395723431250607,0.09031189276991035,0.3352307215464003,0.6470615219878367,0.22834921716677625
0_0_0_10_14_8,-24.0,1,0,2,922,268,0,0,1,10,1,5.653455069994192,370,370,0.5954287537426808,-0.5184735384145713,0.1401493471281083,0.04451725538207865,0.02787765048374722,0.10785368154498921,0.37287012737748393,0.08513413672055135,0.6262212313962632,0.07476504132905401,0.04681945624647271,0.18113616594269988,0.6262212313962632,0.1429795524408664
0_0_0_10_14_8,-24.0,1,0,2,922,738,0,0,1,11,1,5.653455069994192,184,184,0.5916963739720735,-0.5247616574709217,0.13794163160845788,0.05175587867617949,0.03172244167915974,0.11962575901669285,0.3626651540888294,0.09516877771759005,0.6129244153623057,0.08747033267880433,0.05361270251870253,0.20217423036352572,0.6129244153623057,0.16084056266682778
0_0_0_10_14_8,-24.0,1,0,2,922,506,0,0,1,12,1,5.653455069994192,416,416,0.5788224505526074,-0.5467594968764815,0.19765377305054568,0.04649493824350545,0.02221749618776657,0.07996583929146521,0.2765889379440692,0.08733545723602687,0.47784763303497824,0.08032677066882303,0.0383839572334406,0.13815262212984492,0.4778476330349783,0.15088470938307053
0_0_0_10_14_8,-24.0,1,0,2,922,1006,0,0,1,13,1,5.653455069994192,84,84,0.5779792047887646,-0.5482173888310885,0.19148924813541313,0.053835254528712254,0.030429564894012755,0.11427649791816469,0.32669401999631076,0.0974491670479735,0.5652349034178632,0.09314392988998202,0.052648200215324216,0.1977173174594224,0.5652349034178632,0.16860324080965589
0_0_0_10_14_8,-24.0,1,0,2,922,522,0,0,1,14,1,5.653455069994192,400,400,0.5582099711054731,-0.5830200950773043,0.19427722095161248,0.06556037859813953,0.04339480692823829,0.1632177492725433,0.36948252038048623,0.11199032039282616,0.661905984317634,0.11744752331869752,0.07773921852793077,0.29239490106081156,0.661905984317634,0.20062400564261101
